('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Mulher em Trabalho de Parto11293409852728918706656019233553760837878', 1, 44, 8, 16, 96, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2273042378170878154037732074965970158447', 1, 31, 3, 11, 97, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas762512137542290402933933419230818045949', 1, 26, 6, 19, 99, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13319820132682174958494117634954644347576', 1, 3, 7, 14, 100, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11213047418009759444932777509021290035237', 1, 27, 5, 14, 102, 'ATIVO')
('EVENTO:', 'Navio Afundando1296011839428152674747609378985511184584', 3, 22, 7, 12, 105, 'ATIVO')
('EVENTO:', 'Navio Afundando12252594091984588327740069799734304497053', 2, 18, 9, 18, 108, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13179055498410580203322436363979575048583', 1, 38, 9, 18, 109, 'COMPLETO')
('EVENTO:', 'Quadrilha15251267300769744622042018085687716968005', 3, 20, 4, 16, 111, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio4298329914268922106025559272510827047746', 1, 39, 7, 21, 114, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente1921566912289714502678351149968841595115', 1, 6, 9, 13, 117, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9318849147836928533298662245250050590345', 1, 42, 9, 16, 120, 'ATIVO')
('EVENTO:', 'Golpe de Estado6255223203388814060290363693580987897385', 1, 18, 9, 18, 121, 'COMPLETO')
('EVENTO:', 'Fuga5158638255317660571695208705403918978558', 1, 33, 9, 12, 123, 'ATIVO')
('EVENTO:', 'Soldado Ferido17249250324180832378552680746358307767827', 1, 42, 9, 16, 126, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11213047418009759444932777509021290035237', 1, 27, 5, 14, 127, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea1449448418244032958233994560038237872375', 1, 34, 8, 20, 129, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio4298329914268922106025559272510827047746', 1, 39, 7, 21, 131, 'COMPLETO')
('EVENTO:', 'Fuga5131340851475312222439511172743294502775', 3, 24, 6, 14, 132, 'ATIVO')
('EVENTO:', 'Navio Afundando12252594091984588327740069799734304497053', 2, 18, 9, 18, 132, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea1449448418244032958233994560038237872375', 1, 34, 8, 20, 132, 'COMPLETO')
('EVENTO:', 'Quadrilha15251267300769744622042018085687716968005', 1, 20, 4, 16, 133, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6186077266899834762242253084400569063996', 2, 32, 6, 19, 135, 'ATIVO')
('EVENTO:', 'Navio Afundando1218680705326941378117803568175652871980', 3, 18, 9, 18, 137, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente1921566912289714502678351149968841595115', 1, 6, 9, 13, 137, 'COMPLETO')
('EVENTO:', 'Soldado Ferido17216238635710746279703457602018819863658', 2, 44, 8, 16, 138, 'ATIVO')
('EVENTO:', 'Golpe de Estado6186077266899834762242253084400569063996', 2, 32, 6, 19, 139, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o1076925081736664656246565904526460586043', 1, 17, 9, 16, 140, 'COMPLETO')
('EVENTO:', 'Soldado Ferido17186173281629113524721009555733414635215', 2, 25, 5, 16, 141, 'ATIVO')
('EVENTO:', 'Fuga5158638255317660571695208705403918978558', 1, 33, 9, 12, 141, 'COMPLETO')
('EVENTO:', 'Assalto010290469965055914006855421000288437464', 3, 24, 6, 14, 144, 'ATIVO')
('EVENTO:', 'Golpe de Estado6209321823620197543455993027923420790915', 3, 16, 8, 22, 147, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio472103083413930955569774039169357357780', 2, 10, 6, 15, 150, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada967032915237827436480771372287491907353', 2, 24, 6, 14, 153, 'ATIVO')
('EVENTO:', 'Briga1185736685202005393131167205591295760336', 1, 27, 5, 14, 156, 'ATIVO')
('EVENTO:', 'Navio Afundando1296011839428152674747609378985511184584', 1, 22, 7, 12, 157, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1387932896154832738020506608099107646427', 3, 33, 9, 12, 159, 'ATIVO')
('EVENTO:', 'Fuga5131340851475312222439511172743294502775', 3, 24, 6, 14, 159, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9318849147836928533298662245250050590345', 1, 42, 9, 16, 161, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3176413915840640716229072090885137338772', 3, 5, 8, 19, 162, 'ATIVO')
('EVENTO:', 'Soldado Ferido17186173281629113524721009555733414635215', 2, 25, 5, 16, 164, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito8224086150507768053530308631578517738788', 2, 21, 6, 17, 165, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada967032915237827436480771372287491907353', 2, 24, 6, 14, 166, 'COMPLETO')
('EVENTO:', 'Soldado Ferido17249250324180832378552680746358307767827', 1, 42, 9, 16, 167, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14155343653438848985377628574510465686488', 3, 44, 8, 16, 168, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio472103083413930955569774039169357357780', 1, 10, 6, 15, 170, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2153237211056191666147641589901719295804', 3, 18, 9, 18, 171, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3176413915840640716229072090885137338772', 3, 5, 8, 19, 172, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13208564976827347492497420978232569248297', 1, 19, 9, 17, 174, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea1417403307226663465601039856132286649867', 3, 5, 8, 19, 177, 'ATIVO')
('EVENTO:', 'Individuo Suspeito890705451046233533777196531960203163693', 2, 32, 6, 19, 180, 'ATIVO')
('EVENTO:', 'Navio Afundando12201822410252247148242319457870767642505', 1, 29, 3, 21, 183, 'ATIVO')
('EVENTO:', 'Individuo Suspeito890705451046233533777196531960203163693', 1, 32, 6, 19, 183, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada945957931707056565840827997364077620787', 1, 19, 9, 17, 186, 'ATIVO')
