"EVENTO", "NOME", "INTENSIDADE", "PONTO", "GRAU_ATUAL", "GRAU_ORIGINAL", "RODADAS", "STATUS"
"EVENTO:", "Joalheiria Roubada9210918186175021733806596762807042825651", 3, 31, 7, 25, 3, 0
"EVENTO:", "Joalheiria Roubada9210918186175021733806596762807042825651", 3, 31, 7, 25, 4, 1
"EVENTO:", "V\xc3\xadtima de Acidente19265591126293103948449297097475216683056", 3, 55, 11, 21, 6, 0
"EVENTO:", "V\xc3\xadtima de Acidente19265591126293103948449297097475216683056", 3, 55, 11, 21, 6, 1
"EVENTO:", "Ladr\xc3\xa3o10249753308633464919395671617912062111643", 3, 54, 14, 21, 9, 0
"EVENTO:", "Ladr\xc3\xa3o10249753308633464919395671617912062111643", 3, 54, 14, 21, 10, 1
"EVENTO:", "Exterm\xc3\xadnio4254120785713640276363677560500157057182", 2, 58, 14, 29, 12, 0
"EVENTO:", "Exterm\xc3\xadnio4254120785713640276363677560500157057182", 2, 58, 14, 29, 13, 1
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o381560599809823338161229306470705748242", 2, 10, 5, 17, 15, 0
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o381560599809823338161229306470705748242", 2, 10, 5, 17, 16, 1
"EVENTO:", "Tiroteio18269562589460829108682395136289830494151", 3, 40, 7, 23, 18, 0
"EVENTO:", "Tiroteio18269562589460829108682395136289830494151", 3, 40, 7, 23, 19, 1
"EVENTO:", "Individuo Suspeito8204998146269543143205642150339844149736", 3, 48, 11, 22, 21, 0
"EVENTO:", "Individuo Suspeito8204998146269543143205642150339844149736", 3, 48, 11, 22, 22, 1
"EVENTO:", "Exterm\xc3\xadnio412809238281606380439494801233801305884", 1, 33, 9, 30, 24, 0
"EVENTO:", "Exterm\xc3\xadnio412809238281606380439494801233801305884", 1, 33, 9, 30, 25, 1
"EVENTO:", "Quadrilha1571821064180236422846133139500990969858", 1, 51, 18, 28, 27, 0
"EVENTO:", "Quadrilha1571821064180236422846133139500990969858", 1, 51, 18, 28, 28, 1
"EVENTO:", "Resgate16243549158280238838032292972017829677666", 3, 3, 5, 24, 30, 0
"EVENTO:", "Resgate16243549158280238838032292972017829677666", 3, 3, 5, 24, 30, 1
"EVENTO:", "Soldado Ferido17321974132440687599620732352633774188459", 1, 53, 12, 19, 33, 0
"EVENTO:", "Soldado Ferido17321974132440687599620732352633774188459", 1, 53, 12, 19, 34, 1
"EVENTO:", "V\xc3\xadtima de Acidente19218201235315618294626983300289128523356", 3, 28, 12, 25, 36, 0
"EVENTO:", "V\xc3\xadtima de Acidente19218201235315618294626983300289128523356", 3, 28, 12, 25, 36, 1
"EVENTO:", "Briga156723943506749727404517156698910830346", 3, 35, 9, 25, 39, 0
"EVENTO:", "Briga156723943506749727404517156698910830346", 3, 35, 9, 25, 41, 1
"EVENTO:", "Golpe de Estado6308553228984306145355496043343688560227", 1, 57, 11, 25, 42, 0
"EVENTO:", "Golpe de Estado6308553228984306145355496043343688560227", 1, 57, 11, 25, 44, 1
"EVENTO:", "Soldado Ferido17331848164344859968901952018359721065391", 1, 58, 14, 29, 45, 0
"EVENTO:", "Soldado Ferido17331848164344859968901952018359721065391", 1, 58, 14, 29, 46, 1
"EVENTO:", "Ladr\xc3\xa3o10224938155993179770490553946155611435624", 2, 20, 5, 24, 48, 0
"EVENTO:", "Ladr\xc3\xa3o10224938155993179770490553946155611435624", 2, 20, 5, 24, 49, 1
"EVENTO:", "Navio Afundando12138841258762769897464631542730454393773", 2, 43, 9, 24, 51, 0
"EVENTO:", "Navio Afundando12138841258762769897464631542730454393773", 2, 43, 9, 24, 52, 1
"EVENTO:", "Mulher em Trabalho de Parto1179837812388564090563095734594613064156", 2, 6, 8, 17, 54, 0
"EVENTO:", "Mulher em Trabalho de Parto1179837812388564090563095734594613064156", 2, 6, 8, 17, 54, 1
"EVENTO:", "Ladr\xc3\xa3o10285356987529844805054058925428301415827", 1, 56, 5, 25, 57, 0
"EVENTO:", "Ladr\xc3\xa3o10285356987529844805054058925428301415827", 1, 56, 5, 25, 59, 1
"EVENTO:", "Golpe de Estado66353700344221154151999482887441368121", 1, 46, 6, 25, 60, 0
"EVENTO:", "Golpe de Estado66353700344221154151999482887441368121", 1, 46, 6, 25, 60, 1
"EVENTO:", "Quadrilha15186653652419406768159384153620562490319", 2, 52, 6, 23, 63, 0
"EVENTO:", "Quadrilha15186653652419406768159384153620562490319", 2, 52, 6, 23, 64, 1
"EVENTO:", "Quadrilha1537990186271936317834061697899363224528", 1, 39, 11, 28, 66, 0
"EVENTO:", "Quadrilha1537990186271936317834061697899363224528", 1, 39, 11, 28, 66, 1
"EVENTO:", "Resgate16326415990351210801282310311767341462252", 3, 54, 14, 21, 69, 0
"EVENTO:", "Resgate16326415990351210801282310311767341462252", 3, 54, 14, 21, 70, 1
"EVENTO:", "PM na \xc3\x81rea14280411592465358653180429020808078431772", 2, 36, 9, 18, 72, 0
"EVENTO:", "PM na \xc3\x81rea14280411592465358653180429020808078431772", 2, 36, 9, 18, 72, 1
"EVENTO:", "Exterm\xc3\xadnio470140949635199636040518925244133307598", 1, 59, 19, 27, 75, 0
"EVENTO:", "Exterm\xc3\xadnio470140949635199636040518925244133307598", 1, 59, 19, 27, 75, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13336133344298802710600324777835939973422", 2, 36, 9, 18, 78, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13336133344298802710600324777835939973422", 2, 36, 9, 18, 78, 1
"EVENTO:", "Soldado Ferido17114631472690581256374682319848573295446", 1, 47, 14, 27, 81, 0
"EVENTO:", "Soldado Ferido17114631472690581256374682319848573295446", 1, 47, 14, 27, 81, 1
"EVENTO:", "Fuga597579178842603180323977356012770733545", 2, 13, 12, 25, 84, 0
"EVENTO:", "Fuga597579178842603180323977356012770733545", 2, 13, 12, 25, 84, 1
"EVENTO:", "Briga1297519964186394032533900163482191254386", 3, 39, 11, 28, 87, 0
"EVENTO:", "Briga1297519964186394032533900163482191254386", 3, 39, 11, 28, 87, 1
"EVENTO:", "Hospital em Chamas7246915255768703581047222432624998936396", 2, 19, 10, 21, 90, 0
"EVENTO:", "Hospital em Chamas7246915255768703581047222432624998936396", 2, 19, 10, 21, 90, 1
"EVENTO:", "PM na \xc3\x81rea14281655711493514832213482589839539901863", 3, 49, 9, 21, 93, 0
"EVENTO:", "PM na \xc3\x81rea14281655711493514832213482589839539901863", 3, 49, 9, 21, 94, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial1319075197041943931744288052169665647328", 3, 36, 9, 18, 96, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial1319075197041943931744288052169665647328", 3, 36, 9, 18, 96, 1
"EVENTO:", "Corrida de Rua286699384344527937196699215597202908910", 3, 42, 12, 23, 99, 0
"EVENTO:", "Corrida de Rua286699384344527937196699215597202908910", 3, 42, 12, 23, 100, 1
"EVENTO:", "Joalheiria Roubada927356638374658023061862912577013548629", 1, 59, 19, 27, 102, 0
"EVENTO:", "Joalheiria Roubada927356638374658023061862912577013548629", 1, 59, 19, 27, 102, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13227466325303617580659880054349651148525", 3, 22, 14, 29, 105, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13227466325303617580659880054349651148525", 3, 22, 14, 29, 105, 1
"EVENTO:", "Resgate16318176136096265176130458612053552153302", 3, 59, 19, 27, 108, 0
"EVENTO:", "Resgate16318176136096265176130458612053552153302", 3, 59, 19, 27, 108, 1
"EVENTO:", "Mulher em Trabalho de Parto11148163248526593913814162744627802386644", 1, 9, 12, 25, 111, 0
"EVENTO:", "Mulher em Trabalho de Parto11148163248526593913814162744627802386644", 1, 9, 12, 25, 111, 1
"EVENTO:", "Fuga5326682113546753217037130956889187405044", 1, 30, 14, 26, 114, 0
"EVENTO:", "Fuga5326682113546753217037130956889187405044", 1, 30, 14, 26, 115, 1
"EVENTO:", "PM na \xc3\x81rea14228640444444700104740494497182679221995", 3, 54, 14, 21, 117, 0
"EVENTO:", "PM na \xc3\x81rea14228640444444700104740494497182679221995", 3, 54, 14, 21, 118, 1
"EVENTO:", "Assalto027316678182071019345947041968721600648", 2, 48, 11, 22, 120, 0
"EVENTO:", "Assalto027316678182071019345947041968721600648", 2, 48, 11, 22, 121, 1
"EVENTO:", "PM na \xc3\x81rea14135847637655009377082598450275954035026", 1, 27, 11, 26, 123, 0
"EVENTO:", "PM na \xc3\x81rea14135847637655009377082598450275954035026", 1, 27, 11, 26, 123, 1
"EVENTO:", "Soldado Ferido1725764136010013817364202578050233077363", 2, 51, 18, 28, 126, 0
"EVENTO:", "Soldado Ferido1725764136010013817364202578050233077363", 2, 51, 18, 28, 127, 1
"EVENTO:", "V\xc3\xadtima de Acidente19246936764133510932843003600901811474928", 2, 16, 6, 22, 129, 0
"EVENTO:", "V\xc3\xadtima de Acidente19246936764133510932843003600901811474928", 2, 16, 6, 22, 129, 1
"EVENTO:", "Golpe de Estado6238312905584901727413540325189165309271", 2, 23, 6, 26, 132, 0
"EVENTO:", "Golpe de Estado6238312905584901727413540325189165309271", 2, 23, 6, 26, 134, 1
"EVENTO:", "Briga1121683342983393552645574012045358194339", 2, 28, 12, 25, 135, 0
"EVENTO:", "Briga1121683342983393552645574012045358194339", 2, 28, 12, 25, 135, 1
"EVENTO:", "Ladr\xc3\xa3o1045654862517565906367467909445077272306", 1, 2, 15, 28, 138, 0
"EVENTO:", "Ladr\xc3\xa3o1045654862517565906367467909445077272306", 1, 2, 15, 28, 138, 1
"EVENTO:", "Golpe de Estado676739853897396474930620363042792032472", 3, 5, 1, 19, 141, 0
"EVENTO:", "Golpe de Estado676739853897396474930620363042792032472", 3, 5, 1, 19, 143, 1
"EVENTO:", "Fuga593046791994407552187777125862953900323", 2, 8, 11, 23, 144, 0
