"EVENTO", "NOME", "INTENSIDADE", "PONTO", "GRAU_ATUAL", "GRAU_ORIGINAL", "RODADAS", "STATUS"
"EVENTO:", "Tiroteio18112199530684573246248026950347232642410", 3, 4, 10, 22, 3, 0
"EVENTO:", "Tiroteio18112199530684573246248026950347232642410", 3, 4, 10, 22, 4, 1
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3224316391974701995656806358395900738466", 2, 54, 9, 26, 6, 0
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3224316391974701995656806358395900738466", 2, 54, 9, 26, 7, 1
"EVENTO:", "Mulher em Trabalho de Parto11201315448171109188620721121818526216150", 3, 27, 6, 14, 9, 0
"EVENTO:", "Mulher em Trabalho de Parto11201315448171109188620721121818526216150", 3, 27, 6, 14, 11, 1
"EVENTO:", "Resgate16144596704823072846752999456490239814566", 3, 7, 9, 17, 12, 0
"EVENTO:", "Resgate16144596704823072846752999456490239814566", 3, 7, 9, 17, 13, 1
"EVENTO:", "Mulher em Trabalho de Parto1169645513891392675783173319098317040569", 3, 40, 11, 22, 15, 0
"EVENTO:", "Mulher em Trabalho de Parto1169645513891392675783173319098317040569", 3, 40, 11, 22, 15, 1
"EVENTO:", "Mulher em Trabalho de Parto1180269089630786965369312804796814486854", 3, 38, 16, 20, 18, 0
"EVENTO:", "Mulher em Trabalho de Parto1180269089630786965369312804796814486854", 3, 38, 16, 20, 18, 1
"EVENTO:", "Resgate16106181640427333690540644620340330520440", 3, 6, 17, 25, 21, 0
"EVENTO:", "Resgate16106181640427333690540644620340330520440", 3, 6, 17, 25, 22, 1
"EVENTO:", "Mulher em Trabalho de Parto1164649783829398160763297618809479849691", 2, 12, 4, 19, 24, 0
"EVENTO:", "Mulher em Trabalho de Parto1164649783829398160763297618809479849691", 2, 12, 4, 19, 25, 1
"EVENTO:", "Briga1229251143772928303947481551463019968515", 1, 22, 13, 30, 27, 0
"EVENTO:", "Briga1229251143772928303947481551463019968515", 1, 22, 13, 30, 28, 1
"EVENTO:", "Soldado Ferido17141444592208181446378302323848922007164", 3, 13, 14, 27, 30, 0
"EVENTO:", "Soldado Ferido17141444592208181446378302323848922007164", 3, 13, 14, 27, 30, 1
"EVENTO:", "PM na \xc3\x81rea14126887740793009824428673855561245798676", 1, 11, 9, 20, 33, 0
"EVENTO:", "PM na \xc3\x81rea14126887740793009824428673855561245798676", 1, 11, 9, 20, 33, 1
"EVENTO:", "Quadrilha15242031271466049462642597152257533473610", 1, 29, 11, 26, 36, 0
"EVENTO:", "Quadrilha15242031271466049462642597152257533473610", 1, 29, 11, 26, 38, 1
"EVENTO:", "Hospital em Chamas7223794839600971446950692615317016022799", 1, 49, 8, 22, 39, 0
"EVENTO:", "Hospital em Chamas7223794839600971446950692615317016022799", 1, 49, 8, 22, 40, 1
"EVENTO:", "Assalto0223809946285704530417223548408580823253", 1, 43, 11, 18, 42, 0
"EVENTO:", "Assalto0223809946285704530417223548408580823253", 1, 43, 11, 18, 42, 1
"EVENTO:", "Resgate16171399680666236704626532683457624705296", 3, 47, 11, 22, 45, 0
"EVENTO:", "Resgate16171399680666236704626532683457624705296", 3, 47, 11, 22, 47, 1
"EVENTO:", "Exterm\xc3\xadnio4176032376185457740798178585839587482062", 3, 16, 13, 24, 48, 0
"EVENTO:", "Exterm\xc3\xadnio4176032376185457740798178585839587482062", 3, 16, 13, 24, 48, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13248211171495593194931690720378364512467", 2, 41, 7, 25, 51, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13248211171495593194931690720378364512467", 2, 41, 7, 25, 51, 1
"EVENTO:", "Resgate16128060123637378244108271823118011133946", 2, 20, 7, 31, 54, 0
"EVENTO:", "Resgate16128060123637378244108271823118011133946", 2, 20, 7, 31, 54, 1
"EVENTO:", "Joalheiria Roubada9286737177432910198079583872278778907790", 2, 15, 11, 28, 57, 0
"EVENTO:", "Joalheiria Roubada9286737177432910198079583872278778907790", 2, 15, 11, 28, 58, 1
"EVENTO:", "Briga1298185383414434019369856703625021828289", 2, 30, 14, 21, 60, 0
"EVENTO:", "Briga1298185383414434019369856703625021828289", 2, 30, 14, 21, 62, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13314899295079470322644606366285364890873", 3, 4, 10, 22, 63, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13314899295079470322644606366285364890873", 3, 4, 10, 22, 64, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial1364691839096694393749074065801727705735", 3, 46, 13, 24, 66, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial1364691839096694393749074065801727705735", 3, 46, 13, 24, 66, 1
"EVENTO:", "Exterm\xc3\xadnio4254008544909139480436814312919525364556", 3, 38, 16, 20, 69, 0
"EVENTO:", "Exterm\xc3\xadnio4254008544909139480436814312919525364556", 3, 38, 16, 20, 69, 1
