"EVENTO", "NOME", "INTENSIDADE", "PONTO", "GRAU_ATUAL", "GRAU_ORIGINAL", "RODADAS", "STATUS"
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3322521607600305705882491668430892791296", 1, 74, 19, 31, 84, 0
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3322521607600305705882491668430892791296", 1, 74, 19, 31, 84, 1
"EVENTO:", "Soldado Ferido17244058221067408844612034420055440648202", 2, 34, 16, 30, 87, 0
"EVENTO:", "Soldado Ferido17244058221067408844612034420055440648202", 2, 34, 16, 30, 88, 1
"EVENTO:", "Hospital em Chamas763498082589473286950602911778208188571", 2, 69, 20, 29, 90, 0
"EVENTO:", "Hospital em Chamas763498082589473286950602911778208188571", 2, 69, 20, 29, 91, 1
"EVENTO:", "Mulher em Trabalho de Parto11102163880489579829594079763325158488808", 1, 50, 19, 30, 93, 0
"EVENTO:", "Mulher em Trabalho de Parto11102163880489579829594079763325158488808", 1, 50, 19, 30, 94, 1
"EVENTO:", "Mulher em Trabalho de Parto1159675935094537476631100343021725028398", 1, 33, 19, 26, 96, 0
"EVENTO:", "Mulher em Trabalho de Parto1159675935094537476631100343021725028398", 1, 33, 19, 26, 97, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13234019128292004188994775234999648697079", 1, 2, 16, 31, 99, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13234019128292004188994775234999648697079", 1, 2, 16, 31, 100, 1
"EVENTO:", "Tiroteio1811396882670646978777130766862200007569", 2, 4, 16, 35, 102, 0
"EVENTO:", "Tiroteio1811396882670646978777130766862200007569", 2, 4, 16, 35, 102, 1
"EVENTO:", "Individuo Suspeito8109218629939309573490682686037993917220", 1, 35, 13, 30, 105, 0
"EVENTO:", "Individuo Suspeito8109218629939309573490682686037993917220", 1, 35, 13, 30, 106, 1
"EVENTO:", "Navio Afundando12188327335303121795830924863545526103794", 3, 59, 21, 30, 108, 0
"EVENTO:", "Navio Afundando12188327335303121795830924863545526103794", 3, 59, 21, 30, 108, 1
"EVENTO:", "Fuga587494465096704964802714739416552020581", 1, 15, 13, 24, 111, 0
"EVENTO:", "Fuga587494465096704964802714739416552020581", 1, 15, 13, 24, 112, 1
"EVENTO:", "Mulher em Trabalho de Parto11141527844265043254920522288987685074667", 1, 1, 24, 34, 114, 0
"EVENTO:", "Mulher em Trabalho de Parto11141527844265043254920522288987685074667", 1, 1, 24, 34, 115, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13225367456530094030920320049485314415231", 2, 49, 21, 34, 117, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13225367456530094030920320049485314415231", 2, 49, 21, 34, 118, 1
"EVENTO:", "Resgate16258086224266109851745037701128845035360", 1, 23, 12, 28, 120, 0
"EVENTO:", "Resgate16258086224266109851745037701128845035360", 1, 23, 12, 28, 121, 1
"EVENTO:", "Tiroteio185034472079121434783578852806867486901", 1, 38, 28, 36, 123, 0
"EVENTO:", "Tiroteio185034472079121434783578852806867486901", 1, 38, 28, 36, 124, 1
"EVENTO:", "Fuga5307882417444359668552354051398153583842", 3, 48, 23, 35, 126, 0
"EVENTO:", "Fuga5307882417444359668552354051398153583842", 3, 48, 23, 35, 126, 1
"EVENTO:", "Joalheiria Roubada9183901369044726215968150327572201486497", 1, 60, 9, 21, 129, 0
"EVENTO:", "Joalheiria Roubada9183901369044726215968150327572201486497", 1, 60, 9, 21, 130, 1
"EVENTO:", "Joalheiria Roubada9115090076439264392759807180832741361552", 2, 58, 17, 28, 132, 0
"EVENTO:", "Joalheiria Roubada9115090076439264392759807180832741361552", 2, 58, 17, 28, 132, 1
"EVENTO:", "Tiroteio18292838735888607873054090650835604132069", 1, 2, 16, 31, 135, 0
"EVENTO:", "Tiroteio18292838735888607873054090650835604132069", 1, 2, 16, 31, 136, 1
"EVENTO:", "Fuga5155483589286986391642667798111511074389", 2, 1, 24, 34, 138, 0
"EVENTO:", "Fuga5155483589286986391642667798111511074389", 2, 1, 24, 34, 139, 1
"EVENTO:", "Briga1295708579761142593957393571861858798632", 2, 6, 16, 27, 141, 0
"EVENTO:", "Briga1295708579761142593957393571861858798632", 2, 6, 16, 27, 142, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13285789479974974150456236843541330236553", 1, 66, 25, 33, 144, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13285789479974974150456236843541330236553", 1, 66, 25, 33, 145, 1
"EVENTO:", "Quadrilha15284920022657030873289375984058397274566", 3, 59, 21, 30, 147, 0
"EVENTO:", "Quadrilha15284920022657030873289375984058397274566", 3, 59, 21, 30, 147, 1
"EVENTO:", "Quadrilha1539486760003457796065815290445321548758", 3, 51, 19, 30, 150, 0
"EVENTO:", "Quadrilha1539486760003457796065815290445321548758", 3, 51, 19, 30, 151, 1
"EVENTO:", "Quadrilha15191096264328797780815502731351708232436", 1, 55, 16, 29, 153, 0
"EVENTO:", "Quadrilha15191096264328797780815502731351708232436", 1, 55, 16, 29, 153, 1
"EVENTO:", "Hospital em Chamas797676882226489045105230048201432553746", 3, 51, 19, 30, 156, 0
"EVENTO:", "Hospital em Chamas797676882226489045105230048201432553746", 3, 51, 19, 30, 157, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13201707482419505984908753524861991886669", 3, 11, 16, 25, 159, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13201707482419505984908753524861991886669", 3, 11, 16, 25, 160, 1
"EVENTO:", "Individuo Suspeito8260215458640956901701299412280507181135", 2, 18, 25, 32, 162, 0
"EVENTO:", "Individuo Suspeito8260215458640956901701299412280507181135", 2, 18, 25, 32, 163, 1
"EVENTO:", "V\xc3\xadtima de Acidente1916087727540597526127029376279081245776", 1, 3, 13, 26, 165, 0
"EVENTO:", "V\xc3\xadtima de Acidente1916087727540597526127029376279081245776", 1, 3, 13, 26, 166, 1
"EVENTO:", "Individuo Suspeito8281573970699348171202721647094438073502", 3, 51, 19, 30, 168, 0
"EVENTO:", "Individuo Suspeito8281573970699348171202721647094438073502", 3, 51, 19, 30, 169, 1
"EVENTO:", "Exterm\xc3\xadnio4172875969594997027113182077246624269665", 3, 72, 16, 30, 171, 0
"EVENTO:", "Exterm\xc3\xadnio4172875969594997027113182077246624269665", 3, 72, 16, 30, 172, 1
"EVENTO:", "Joalheiria Roubada9166667091043078038367417238116381077757", 2, 72, 16, 30, 174, 0
