"EVENTO", "NOME", "INTENSIDADE", "PONTO", "GRAU_ATUAL", "GRAU_ORIGINAL", "RODADAS", "STATUS"
"EVENTO:", "Fuga5206975868814555485760405092668788468341", 1, 28, 4, 12, 3, 0
"EVENTO:", "Fuga5206975868814555485760405092668788468341", 1, 28, 4, 12, 4, 1
"EVENTO:", "Tiroteio18204943061575841652544417051611692750111", 2, 23, 5, 11, 6, 0
"EVENTO:", "Tiroteio18204943061575841652544417051611692750111", 2, 23, 5, 11, 7, 1
"EVENTO:", "Mulher em Trabalho de Parto11211628754177202030685361482673042220110", 3, 29, 2, 10, 9, 0
"EVENTO:", "Mulher em Trabalho de Parto11211628754177202030685361482673042220110", 3, 29, 2, 10, 9, 1
"EVENTO:", "Fuga566700354331524430650975296946466034729", 2, 8, 7, 14, 12, 0
"EVENTO:", "Fuga566700354331524430650975296946466034729", 2, 8, 7, 14, 13, 1
"EVENTO:", "Mulher em Trabalho de Parto114246186437136450493702352176195385775", 3, 15, 5, 13, 15, 0
"EVENTO:", "Mulher em Trabalho de Parto114246186437136450493702352176195385775", 3, 15, 5, 13, 16, 1
"EVENTO:", "PM na \xc3\x81rea14252091227072643886545244325741111730904", 1, 21, 5, 16, 18, 0
"EVENTO:", "PM na \xc3\x81rea14252091227072643886545244325741111730904", 1, 21, 5, 16, 20, 1
"EVENTO:", "Quadrilha15184981461521572540159062083383073215360", 2, 10, 2, 7, 21, 0
"EVENTO:", "Quadrilha15184981461521572540159062083383073215360", 2, 10, 2, 7, 23, 1
"EVENTO:", "Joalheiria Roubada9112746246025373659571310276161814581524", 1, 10, 2, 7, 24, 0
"EVENTO:", "Joalheiria Roubada9112746246025373659571310276161814581524", 1, 10, 2, 7, 26, 1
"EVENTO:", "Hospital em Chamas7118595116076958968708607584036517489358", 2, 5, 5, 9, 27, 0
"EVENTO:", "Hospital em Chamas7118595116076958968708607584036517489358", 2, 5, 5, 9, 27, 1
"EVENTO:", "Hospital em Chamas717754828368195539279504042362407530233", 3, 29, 2, 10, 30, 0
"EVENTO:", "Hospital em Chamas717754828368195539279504042362407530233", 3, 29, 2, 10, 30, 1
"EVENTO:", "Golpe de Estado620635698038334293547013220081888954172", 3, 4, 8, 14, 33, 0
"EVENTO:", "Golpe de Estado620635698038334293547013220081888954172", 3, 4, 8, 14, 33, 1
"EVENTO:", "Quadrilha15247128054665176003041456058780266426811", 1, 5, 5, 9, 36, 0
"EVENTO:", "Quadrilha15247128054665176003041456058780266426811", 1, 5, 5, 9, 36, 1
"EVENTO:", "Briga1128498170820866487791736138298561469581", 2, 1, 5, 9, 39, 0
"EVENTO:", "Briga1128498170820866487791736138298561469581", 2, 1, 5, 9, 41, 1
"EVENTO:", "V\xc3\xadtima de Acidente19303202198556104977303568042349211398980", 3, 28, 4, 12, 42, 0
"EVENTO:", "V\xc3\xadtima de Acidente19303202198556104977303568042349211398980", 3, 28, 4, 12, 43, 1
"EVENTO:", "Exterm\xc3\xadnio4274789940284710386616533748248700215352", 2, 24, 5, 11, 45, 0
"EVENTO:", "Exterm\xc3\xadnio4274789940284710386616533748248700215352", 2, 24, 5, 11, 45, 1
"EVENTO:", "PM na \xc3\x81rea1442540102087201959052096928068083595342", 1, 27, 8, 13, 48, 0
"EVENTO:", "PM na \xc3\x81rea1442540102087201959052096928068083595342", 1, 27, 8, 13, 49, 1
"EVENTO:", "Fuga596059012178406807565508303399174239212", 1, 22, 3, 9, 51, 0
"EVENTO:", "Fuga596059012178406807565508303399174239212", 1, 22, 3, 9, 52, 1
