('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13318254919665841073777203887278807463660', 1, 41, 9, 30, 3, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19255419736948669422675306374835161385300', 1, 16, 11, 32, 6, 'ATIVO')
('EVENTO:', 'Golpe de Estado6177372960928421548814255095082650777005', 3, 57, 4, 18, 9, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13227398361603099563553622133307799987561', 3, 7, 11, 25, 12, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19255419736948669422675306374835161385300', 1, 16, 11, 32, 14, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas737986625482391630950645360130394894331', 3, 40, 9, 25, 15, 'ATIVO')
('EVENTO:', 'Soldado Ferido17200151908394634451225377006016726491456', 1, 43, 8, 23, 18, 'ATIVO')
('EVENTO:', 'Golpe de Estado6195383547775795737795650918007328940057', 3, 3, 8, 22, 21, 'ATIVO')
('EVENTO:', 'Assalto0331945606746981582786602666136485417679', 2, 24, 13, 23, 24, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13227398361603099563553622133307799987561', 2, 7, 11, 25, 26, 'COMPLETO')
('EVENTO:', 'Assalto0307798876048566287039907175857934322172', 2, 21, 11, 27, 27, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11245995015923602519584899877663991524792', 1, 39, 9, 23, 30, 'ATIVO')
('EVENTO:', 'Corrida de Rua295207825381942761215333329029986852475', 3, 37, 11, 29, 33, 'ATIVO')
('EVENTO:', 'Hospital em Chamas737986625482391630950645360130394894331', 2, 40, 9, 25, 34, 'COMPLETO')
('EVENTO:', 'Quadrilha15207416426769558751043526305999163435705', 2, 13, 13, 23, 36, 'ATIVO')
('EVENTO:', 'Briga1115798508986926582695855151861668235566', 3, 17, 7, 19, 39, 'ATIVO')
('EVENTO:', 'Briga1115798508986926582695855151861668235566', 2, 17, 7, 19, 40, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13151794737787648170630660318760486254399', 3, 37, 11, 29, 42, 'ATIVO')
('EVENTO:', 'Fuga5222428197600040270933362469205739574568', 2, 18, 10, 21, 45, 'ATIVO')
('EVENTO:', 'Soldado Ferido17200151908394634451225377006016726491456', 1, 43, 8, 23, 46, 'COMPLETO')
('EVENTO:', 'Quadrilha15207416426769558751043526305999163435705', 1, 13, 13, 23, 46, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2304006762546452163536264545956309333289', 1, 21, 11, 27, 48, 'ATIVO')
('EVENTO:', 'Fuga5222428197600040270933362469205739574568', 2, 18, 10, 21, 50, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11223611447799467375741535280698098752526', 1, 37, 11, 29, 51, 'ATIVO')
('EVENTO:', 'Soldado Ferido17156641054264903231633797819889417280496', 2, 22, 9, 22, 54, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente1918807032597921944268476146896432881484', 1, 43, 8, 23, 57, 'ATIVO')
('EVENTO:', 'Corrida de Rua2163713221755445353892814911515513635185', 3, 1, 7, 29, 60, 'ATIVO')
('EVENTO:', 'Quadrilha1541253746997363779676538116598411957390', 1, 55, 6, 26, 63, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19208776200622505259801879080624311854522', 3, 44, 6, 21, 66, 'ATIVO')
('EVENTO:', 'Corrida de Rua295207825381942761215333329029986852475', 2, 37, 11, 29, 67, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19302598987989003819171119075487910965810', 3, 19, 12, 26, 69, 'ATIVO')
('EVENTO:', 'Navio Afundando12205965069702967612947914896611247724610', 1, 59, 6, 22, 72, 'ON-HOLD')
('EVENTO:', 'Resgate16250130246540145103596085478032795843602', 2, 12, 9, 23, 75, 'ON-HOLD')
('EVENTO:', 'Corrida de Rua2132471415933329567652555924847114717431', 1, 50, 8, 22, 78, 'ON-HOLD')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13151794737787648170630660318760486254399', 2, 37, 11, 29, 78, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2132471415933329567652555924847114717431', 1, 50, 8, 22, 78, 'RE-ATIVO')
('EVENTO:', 'Corrida de Rua2163713221755445353892814911515513635185', 2, 1, 7, 29, 78, 'COMPLETO')
('EVENTO:', 'Resgate16250130246540145103596085478032795843602', 2, 12, 9, 23, 78, 'RE-ATIVO')
('EVENTO:', 'Corrida de Rua2304006762546452163536264545956309333289', 1, 21, 11, 27, 80, 'COMPLETO')
('EVENTO:', 'Navio Afundando12205965069702967612947914896611247724610', 1, 59, 6, 22, 80, 'RE-ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10331202827487248369837661457837036512045', 3, 12, 9, 23, 81, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13318254919665841073777203887278807463660', 1, 41, 9, 30, 82, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio4138249292112970392165843188733191771800', 3, 41, 9, 30, 84, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11223611447799467375741535280698098752526', 1, 37, 11, 29, 84, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente1918807032597921944268476146896432881484', 1, 43, 8, 23, 84, 'COMPLETO')
('EVENTO:', 'Navio Afundando12205965069702967612947914896611247724610', 1, 59, 6, 22, 85, 'COMPLETO')
('EVENTO:', 'Quadrilha15211797927954445884577425373211200719040', 2, 24, 13, 23, 87, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11242631780592410388333741302810503031676', 1, 12, 9, 23, 90, 'ATIVO')
('EVENTO:', 'Assalto0307798876048566287039907175857934322172', 2, 21, 11, 27, 92, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6183995561144992980658862969992795288412', 3, 33, 8, 22, 93, 'ATIVO')
('EVENTO:', 'Golpe de Estado6183995561144992980658862969992795288412', 1, 33, 8, 22, 93, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19208776200622505259801879080624311854522', 2, 44, 6, 21, 94, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10245355462474005217682676931614716554848', 2, 12, 9, 23, 96, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11245995015923602519584899877663991524792', 1, 39, 9, 23, 97, 'COMPLETO')
('EVENTO:', 'Resgate16250130246540145103596085478032795843602', 2, 12, 9, 23, 97, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o1077453022422132501553892189636923104058', 3, 54, 9, 26, 99, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19302598987989003819171119075487910965810', 2, 19, 12, 26, 99, 'COMPLETO')
('EVENTO:', 'Quadrilha1541253746997363779676538116598411957390', 1, 55, 6, 26, 100, 'COMPLETO')
('EVENTO:', 'Corrida de Rua283588751191262160798520853587394328293', 2, 52, 5, 21, 102, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10182806514620437443726770330985326724483', 2, 27, 11, 21, 105, 'ATIVO')
