"EVENTO", "NOME", "INTENSIDADE", "PONTO", "GRAU_ATUAL", "GRAU_ORIGINAL", "RODADAS", "STATUS"
"EVENTO:", "Briga1258701280399838321415122668445709727408", 3, 1, 3, 4, 3, 0
"EVENTO:", "Briga1258701280399838321415122668445709727408", 3, 1, 3, 4, 3, 1
"EVENTO:", "V\xc3\xadtima de Acidente19235440800096287788612648776443961412328", 3, 1, 3, 4, 6, 0
"EVENTO:", "V\xc3\xadtima de Acidente19235440800096287788612648776443961412328", 3, 1, 3, 4, 6, 1
"EVENTO:", "Navio Afundando1272371657152043621351238794526121372054", 2, 2, 1, 2, 9, 0
"EVENTO:", "Navio Afundando1272371657152043621351238794526121372054", 2, 2, 1, 2, 9, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13241159001375704596284499068795012674254", 1, 3, 2, 2, 12, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13241159001375704596284499068795012674254", 1, 3, 2, 2, 12, 1
"EVENTO:", "Corrida de Rua2244399417473893592465410230054458468174", 1, 3, 2, 2, 15, 0
"EVENTO:", "Corrida de Rua2244399417473893592465410230054458468174", 1, 3, 2, 2, 15, 1
"EVENTO:", "Hospital em Chamas7290581794977364821992659362565242029870", 3, 3, 2, 2, 18, 0
"EVENTO:", "Hospital em Chamas7290581794977364821992659362565242029870", 3, 3, 2, 2, 18, 1
"EVENTO:", "PM na \xc3\x81rea14328529155984209823475736257314091291031", 3, 3, 2, 2, 21, 0
"EVENTO:", "PM na \xc3\x81rea14328529155984209823475736257314091291031", 3, 3, 2, 2, 21, 1
"EVENTO:", "Hospital em Chamas7270433320281884127836956352861699703811", 2, 1, 3, 4, 24, 0
"EVENTO:", "Hospital em Chamas7270433320281884127836956352861699703811", 2, 1, 3, 4, 24, 1
"EVENTO:", "Quadrilha1514099291867904552541056636552795339757", 2, 3, 2, 2, 27, 0
"EVENTO:", "Quadrilha1514099291867904552541056636552795339757", 2, 3, 2, 2, 27, 1
"EVENTO:", "Tiroteio18205802514441819281953991830834932564886", 3, 3, 2, 2, 30, 0
"EVENTO:", "Tiroteio18205802514441819281953991830834932564886", 3, 3, 2, 2, 30, 1
"EVENTO:", "Briga1294706244461548651562253795557887951580", 2, 4, 2, 4, 33, 0
"EVENTO:", "Briga1294706244461548651562253795557887951580", 2, 4, 2, 4, 34, 1
"EVENTO:", "Joalheiria Roubada9182896351544557386062429702557743583811", 2, 2, 1, 2, 36, 0
"EVENTO:", "Joalheiria Roubada9182896351544557386062429702557743583811", 2, 2, 1, 2, 36, 1
"EVENTO:", "PM na \xc3\x81rea14271305603899769863960850816099140347912", 2, 1, 3, 4, 39, 0
"EVENTO:", "PM na \xc3\x81rea14271305603899769863960850816099140347912", 2, 1, 3, 4, 39, 1
"EVENTO:", "Assalto0267674390564061680806275939962966185753", 2, 3, 2, 2, 42, 0
"EVENTO:", "Assalto0267674390564061680806275939962966185753", 2, 3, 2, 2, 42, 1
"EVENTO:", "V\xc3\xadtima de Acidente19183847016950074355887038375593853915416", 3, 2, 1, 2, 45, 0
"EVENTO:", "V\xc3\xadtima de Acidente19183847016950074355887038375593853915416", 3, 2, 1, 2, 45, 1
"EVENTO:", "Resgate16163111884343411534980505526813735688700", 2, 4, 2, 4, 48, 0
"EVENTO:", "Resgate16163111884343411534980505526813735688700", 2, 4, 2, 4, 49, 1
"EVENTO:", "Corrida de Rua2219832294773233390538478218486444509976", 3, 4, 2, 4, 51, 0
"EVENTO:", "Corrida de Rua2219832294773233390538478218486444509976", 3, 4, 2, 4, 52, 1
"EVENTO:", "Soldado Ferido17217178329308687419185242362299548837857", 1, 4, 2, 4, 54, 0
"EVENTO:", "Soldado Ferido17217178329308687419185242362299548837857", 1, 4, 2, 4, 55, 1
"EVENTO:", "Fuga5235735186911417818356878336993139750379", 1, 4, 2, 4, 57, 0
"EVENTO:", "Fuga5235735186911417818356878336993139750379", 1, 4, 2, 4, 58, 1
"EVENTO:", "Corrida de Rua2186098903956389541166872041589157690097", 3, 1, 3, 4, 60, 0
"EVENTO:", "Corrida de Rua2186098903956389541166872041589157690097", 3, 1, 3, 4, 60, 1
"EVENTO:", "Hospital em Chamas760738289990266753286167774370419413059", 1, 1, 3, 4, 63, 0
"EVENTO:", "Hospital em Chamas760738289990266753286167774370419413059", 1, 1, 3, 4, 63, 1
"EVENTO:", "Golpe de Estado6280328964381711750757816425931227822911", 3, 3, 2, 2, 66, 0
"EVENTO:", "Golpe de Estado6280328964381711750757816425931227822911", 3, 3, 2, 2, 66, 1
"EVENTO:", "V\xc3\xadtima de Acidente1950164794297016911121792081702648897001", 2, 1, 3, 4, 69, 0
"EVENTO:", "V\xc3\xadtima de Acidente1950164794297016911121792081702648897001", 2, 1, 3, 4, 69, 1
"EVENTO:", "Soldado Ferido1782247157662381960596846126634789756829", 3, 1, 3, 4, 72, 0
"EVENTO:", "Soldado Ferido1782247157662381960596846126634789756829", 3, 1, 3, 4, 72, 1
"EVENTO:", "Assalto0282720970076447032528898572540746274440", 2, 2, 1, 2, 75, 0
"EVENTO:", "Assalto0282720970076447032528898572540746274440", 2, 2, 1, 2, 75, 1
"EVENTO:", "Soldado Ferido17170188381571890855436755425278570753465", 1, 1, 3, 4, 78, 0
"EVENTO:", "Soldado Ferido17170188381571890855436755425278570753465", 1, 1, 3, 4, 78, 1
"EVENTO:", "Tiroteio18253383620095966037499415371229271439023", 3, 2, 1, 2, 81, 0
"EVENTO:", "Tiroteio18253383620095966037499415371229271439023", 3, 2, 1, 2, 81, 1
"EVENTO:", "PM na \xc3\x81rea14231539216880786389844385484848109041520", 3, 2, 1, 2, 84, 0
"EVENTO:", "PM na \xc3\x81rea14231539216880786389844385484848109041520", 3, 2, 1, 2, 84, 1
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3100069223827054358289630934953379346616", 3, 3, 2, 2, 87, 0
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3100069223827054358289630934953379346616", 3, 3, 2, 2, 87, 1
"EVENTO:", "Assalto012627988532723507396666754479150901648", 3, 4, 2, 4, 90, 0
"EVENTO:", "Assalto012627988532723507396666754479150901648", 3, 4, 2, 4, 91, 1
"EVENTO:", "Fuga5284529123061063408651875359365491463965", 2, 2, 1, 2, 93, 0
"EVENTO:", "Fuga5284529123061063408651875359365491463965", 2, 2, 1, 2, 93, 1
"EVENTO:", "Ladr\xc3\xa3o10304527192757827376343130255396224968093", 2, 4, 2, 4, 96, 0
"EVENTO:", "Ladr\xc3\xa3o10304527192757827376343130255396224968093", 2, 4, 2, 4, 97, 1
"EVENTO:", "Individuo Suspeito8104940867522923685587435155448397650187", 2, 2, 1, 2, 99, 0
"EVENTO:", "Individuo Suspeito8104940867522923685587435155448397650187", 2, 2, 1, 2, 99, 1
"EVENTO:", "Navio Afundando12213064823532275820229333715344807476679", 1, 2, 1, 2, 102, 0
"EVENTO:", "Navio Afundando12213064823532275820229333715344807476679", 1, 2, 1, 2, 102, 1
"EVENTO:", "Golpe de Estado635095076392634772068824669179794645780", 3, 3, 2, 2, 105, 0
"EVENTO:", "Golpe de Estado635095076392634772068824669179794645780", 3, 3, 2, 2, 105, 1
"EVENTO:", "Assalto0106179378640798214203969520288814935363", 2, 3, 2, 2, 108, 0
"EVENTO:", "Assalto0106179378640798214203969520288814935363", 2, 3, 2, 2, 108, 1
"EVENTO:", "Assalto067699869421983497476656289315456810459", 2, 2, 1, 2, 111, 0
"EVENTO:", "Assalto067699869421983497476656289315456810459", 2, 2, 1, 2, 111, 1
"EVENTO:", "Resgate16142730052574084546009837279008134722071", 3, 2, 1, 2, 114, 0
"EVENTO:", "Resgate16142730052574084546009837279008134722071", 3, 2, 1, 2, 114, 1
"EVENTO:", "Joalheiria Roubada938208733960048506262243815408172691588", 2, 4, 2, 4, 117, 0
"EVENTO:", "Joalheiria Roubada938208733960048506262243815408172691588", 2, 4, 2, 4, 118, 1
"EVENTO:", "Assalto0301998632914251242426066207929328294170", 3, 1, 3, 4, 120, 0
"EVENTO:", "Assalto0301998632914251242426066207929328294170", 3, 1, 3, 4, 120, 1
"EVENTO:", "PM na \xc3\x81rea14177840224346825792507372957208045456629", 1, 1, 3, 4, 123, 0
"EVENTO:", "PM na \xc3\x81rea14177840224346825792507372957208045456629", 1, 1, 3, 4, 123, 1
"EVENTO:", "Navio Afundando1278755688541390583103447413661029308642", 1, 4, 2, 4, 126, 0
"EVENTO:", "Navio Afundando1278755688541390583103447413661029308642", 1, 4, 2, 4, 127, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial1320410001843335335001714234263732861118", 2, 4, 2, 4, 129, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial1320410001843335335001714234263732861118", 2, 4, 2, 4, 130, 1
"EVENTO:", "Navio Afundando12288670701899673708810961433489882465940", 2, 1, 3, 4, 132, 0
"EVENTO:", "Navio Afundando12288670701899673708810961433489882465940", 2, 1, 3, 4, 132, 1
"EVENTO:", "Navio Afundando1250955192333862199116556258453615341159", 3, 2, 1, 2, 135, 0
"EVENTO:", "Navio Afundando1250955192333862199116556258453615341159", 3, 2, 1, 2, 135, 1
"EVENTO:", "Hospital em Chamas760856211582654528807373854116764738197", 2, 1, 3, 4, 138, 0
