'versao', 'n_vertices', 'chance_aresta', 'alfa', 'beta', 'iteracoes', 'qtdFormigas', 'rodadas', 'algoritmo_formiga', 'reduz_grafo', 'calcula_path'
1,5,0.4,0.10,2.5,50,20,1000,1,1,0
2,15,0.4,0.10,2.5,50,20,1000,1,1,0
3,30,0.4,0.10,2.5,50,20,1000,1,1,0
4,40,0.4,0.10,2.5,50,20,1000,1,1,0
5,45,0.4,0.10,2.5,50,20,1000,1,1,0
6,50,0.4,0.10,2.5,50,20,1000,1,1,0
7,55,0.4,0.10,2.5,50,20,1000,1,1,0
8,60,0.4,0.10,2.5,50,20,1000,1,1,0
9,75,0.4,0.10,2.5,50,20,1000,1,1,0
10,80,0.4,0.10,2.5,50,20,1000,1,1,0
