('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Ladr\xc3\xa3o10244720024367926945129500316218684942261', 3, 41, 11, 22, 72, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10244720024367926945129500316218684942261', 3, 41, 11, 22, 73, 'COMPLETO')
('EVENTO:', 'Briga1110714991853230260822279319974722476551', 1, 21, 13, 23, 75, 'ATIVO')
('EVENTO:', 'Briga1110714991853230260822279319974722476551', 1, 21, 13, 23, 76, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9239629319602009524161130677026077750271', 2, 43, 8, 36, 78, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9239629319602009524161130677026077750271', 2, 43, 8, 36, 79, 'COMPLETO')
('EVENTO:', 'Briga120164059564186583278218147067537304321', 1, 23, 14, 29, 81, 'ATIVO')
('EVENTO:', 'Briga120164059564186583278218147067537304321', 1, 23, 14, 29, 81, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea1428280041876393610830224039674858530118', 2, 8, 9, 23, 84, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea1428280041876393610830224039674858530118', 2, 8, 9, 23, 86, 'COMPLETO')
('EVENTO:', 'Navio Afundando1241766707082324355057818420582157287233', 3, 25, 11, 33, 87, 'ATIVO')
('EVENTO:', 'Navio Afundando1241766707082324355057818420582157287233', 3, 25, 11, 33, 87, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14320969511691093298098066326027121435226', 1, 11, 11, 28, 90, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14320969511691093298098066326027121435226', 1, 11, 11, 28, 91, 'COMPLETO')
('EVENTO:', 'Navio Afundando12160299716119386393030632112817102953475', 2, 6, 11, 29, 93, 'ATIVO')
('EVENTO:', 'Navio Afundando12160299716119386393030632112817102953475', 2, 6, 11, 29, 94, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7326510103180066113685432650682707548462', 1, 11, 11, 28, 96, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7326510103180066113685432650682707548462', 1, 11, 11, 28, 97, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio4138636295391614208263385657713695954662', 1, 9, 12, 25, 99, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio4138636295391614208263385657713695954662', 1, 9, 12, 25, 101, 'COMPLETO')
('EVENTO:', 'Briga152987885959878406040351259799351783067', 3, 12, 13, 18, 102, 'ATIVO')
('EVENTO:', 'Briga152987885959878406040351259799351783067', 3, 12, 13, 18, 103, 'COMPLETO')
('EVENTO:', 'Fuga530102762946619907129340373923563137116', 2, 55, 5, 25, 105, 'ATIVO')
('EVENTO:', 'Fuga530102762946619907129340373923563137116', 2, 55, 5, 25, 105, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19160082853824029385225437589163628889144', 2, 17, 10, 21, 108, 'ATIVO')
