('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'V\xc3\xadtima de Acidente19310158473980553911649796504640869926296', 2, 16, 4, 11, 3, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11322501268764108146098960458598241864860', 1, 12, 7, 14, 6, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8169407301499336070518317790675056360108', 3, 29, 3, 11, 9, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3331411910456744006727808361027082254374', 3, 26, 5, 12, 12, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11322501268764108146098960458598241864860', 1, 12, 7, 14, 12, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3201924740585460198488979568419000298423', 1, 24, 4, 11, 15, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3143674964144911253783594962507861725246', 3, 7, 3, 13, 18, 'ATIVO')
('EVENTO:', 'Assalto0335727292587790808825560441239687984590', 1, 6, 4, 12, 21, 'ATIVO')
('EVENTO:', 'Assalto0199871503913076939911371096263644592813', 3, 7, 3, 13, 24, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19310158473980553911649796504640869926296', 2, 16, 4, 11, 24, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3143674964144911253783594962507861725246', 3, 7, 3, 13, 26, 'COMPLETO')
('EVENTO:', 'Quadrilha15295796192854330551813086133924357766870', 1, 18, 6, 11, 27, 'ATIVO')
('EVENTO:', 'Assalto0199871503913076939911371096263644592813', 1, 7, 3, 13, 29, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente191531379451145940638153012486032416271', 3, 16, 4, 11, 30, 'ATIVO')
('EVENTO:', 'Assalto0335727292587790808825560441239687984590', 1, 6, 4, 12, 31, 'COMPLETO')
('EVENTO:', 'Quadrilha15248127313380997479970917950071506297956', 1, 16, 4, 11, 33, 'ATIVO')
('EVENTO:', 'Quadrilha15295796192854330551813086133924357766870', 1, 18, 6, 11, 33, 'COMPLETO')
