('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Mulher em Trabalho de Parto1175285552209374967834232609426036635004', 1, 4, 11, 16, 3, 'ATIVO')
('EVENTO:', 'Golpe de Estado6188469477223694654468778558601651124020', 2, 10, 13, 20, 6, 'ATIVO')
('EVENTO:', 'Resgate16176886061112338399013184284488424506167', 1, 1, 8, 13, 9, 'ATIVO')
('EVENTO:', 'Quadrilha1549345027225488823198952528325066361746', 1, 11, 9, 22, 12, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto1175285552209374967834232609426036635004', 1, 4, 11, 16, 13, 'COMPLETO')
('EVENTO:', 'Resgate16176886061112338399013184284488424506167', 1, 1, 8, 13, 13, 'COMPLETO')
('EVENTO:', 'Golpe de Estado684478152947367591196956122067064480358', 2, 42, 11, 20, 15, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3205753260722430253842349987567282016083', 2, 35, 11, 17, 18, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio487737638036506109642560803268999009183', 1, 3, 9, 23, 21, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7328773405636408802156058278917393382124', 2, 15, 13, 17, 24, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3205753260722430253842349987567282016083', 2, 35, 11, 17, 25, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19139210334510696385401002575492424175522', 3, 4, 11, 16, 27, 'ATIVO')
('EVENTO:', 'Briga1171358940153112999693452377047365358649', 3, 42, 11, 20, 30, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11336155149723076480779050006317585461220', 3, 5, 9, 19, 33, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8332029523244207903303560329211276008450', 3, 46, 9, 24, 36, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19139210334510696385401002575492424175522', 3, 4, 11, 16, 37, 'COMPLETO')
('EVENTO:', 'Quadrilha1549345027225488823198952528325066361746', 1, 11, 9, 22, 38, 'COMPLETO')
('EVENTO:', 'Tiroteio1855810599884042335904958661401100150049', 2, 49, 11, 17, 39, 'ATIVO')
('EVENTO:', 'Tiroteio18147197667030650718543642813353526212366', 1, 40, 11, 17, 42, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11336155149723076480779050006317585461220', 1, 5, 9, 19, 42, 'COMPLETO')
('EVENTO:', 'Assalto064636982843353517477867520424238114457', 1, 49, 11, 17, 45, 'ATIVO')
('EVENTO:', 'Golpe de Estado684478152947367591196956122067064480358', 2, 42, 11, 20, 45, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10279422796865677537900273882792364949415', 3, 18, 14, 21, 48, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio487737638036506109642560803268999009183', 1, 3, 9, 23, 50, 'COMPLETO')
('EVENTO:', 'Resgate16295524710109974065018919411355347304251', 3, 26, 9, 18, 51, 'ATIVO')
('EVENTO:', 'Briga1171358940153112999693452377047365358649', 3, 42, 11, 20, 53, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14295286506516026757843919706341206171679', 2, 45, 10, 17, 54, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7328773405636408802156058278917393382124', 2, 15, 13, 17, 56, 'COMPLETO')
('EVENTO:', 'Fuga5223698251217044301472850050633544232892', 1, 15, 13, 17, 57, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14295286506516026757843919706341206171679', 1, 45, 10, 17, 58, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7336327649233170006374100070560789418081', 2, 16, 12, 25, 60, 'ATIVO')
('EVENTO:', 'Tiroteio1855810599884042335904958661401100150049', 2, 49, 11, 17, 61, 'COMPLETO')
('EVENTO:', 'Tiroteio18147197667030650718543642813353526212366', 1, 40, 11, 17, 62, 'COMPLETO')
('EVENTO:', 'Navio Afundando12111844669867164622702618328473351260665', 3, 20, 8, 20, 63, 'ATIVO')
('EVENTO:', 'Fuga578916682378566421127908801153167188707', 2, 34, 12, 23, 66, 'ATIVO')
('EVENTO:', 'Assalto064636982843353517477867520424238114457', 1, 49, 11, 17, 68, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7299983462685058779636574198756268347202', 1, 29, 11, 19, 69, 'ATIVO')
('EVENTO:', 'Hospital em Chamas779745741592135649917048469242668109611', 1, 14, 11, 29, 72, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7336327649233170006374100070560789418081', 2, 16, 12, 25, 72, 'COMPLETO')
('EVENTO:', 'Resgate16309951361629080193365968866840531758930', 1, 8, 8, 21, 75, 'ATIVO')
('EVENTO:', 'Resgate16309951361629080193365968866840531758930', 1, 8, 8, 21, 75, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13183209605165555862029739063188842648132', 3, 11, 9, 22, 78, 'ATIVO')
('EVENTO:', 'Fuga578916682378566421127908801153167188707', 1, 34, 12, 23, 78, 'COMPLETO')
('EVENTO:', 'Resgate1648714571780363480141691546385439059960', 1, 6, 11, 22, 81, 'ATIVO')
('EVENTO:', 'Navio Afundando12111844669867164622702618328473351260665', 3, 20, 8, 20, 81, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7174046427739529895990394649502106912007', 3, 23, 10, 21, 84, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8332029523244207903303560329211276008450', 3, 46, 9, 24, 84, 'COMPLETO')
('EVENTO:', 'Resgate1648714571780363480141691546385439059960', 1, 6, 11, 22, 85, 'COMPLETO')
('EVENTO:', 'Briga155424057730412356177303604201512077354', 2, 26, 9, 18, 87, 'ATIVO')
('EVENTO:', 'Fuga5223698251217044301472850050633544232892', 1, 15, 13, 17, 89, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13108170497408119159483526019900606292982', 1, 11, 9, 22, 90, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13108170497408119159483526019900606292982', 1, 11, 9, 22, 91, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio4109743580492346496536205931841476497683', 3, 1, 8, 13, 93, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9145015996921204205575444501759019780415', 3, 48, 5, 9, 96, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio4109743580492346496536205931841476497683', 2, 1, 8, 13, 97, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13235227160178838940303930783967571138855', 2, 9, 14, 25, 99, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10279150894028151061702260121733955217666', 3, 23, 10, 21, 102, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7299983462685058779636574198756268347202', 1, 29, 11, 19, 103, 'COMPLETO')
('EVENTO:', 'Fuga575983429068803161730384497347123909658', 3, 11, 9, 22, 105, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13183209605165555862029739063188842648132', 3, 11, 9, 22, 105, 'COMPLETO')
('EVENTO:', 'Fuga575983429068803161730384497347123909658', 2, 11, 9, 22, 106, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9226719392554139079306180215287093817980', 2, 48, 5, 9, 108, 'ATIVO')
('EVENTO:', 'Tiroteio18335716911671350982894492433491097279429', 1, 22, 8, 15, 111, 'ATIVO')
('EVENTO:', 'Golpe de Estado6188469477223694654468778558601651124020', 2, 10, 13, 20, 111, 'COMPLETO')
('EVENTO:', 'Briga155424057730412356177303604201512077354', 2, 26, 9, 18, 111, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas779745741592135649917048469242668109611', 1, 14, 11, 29, 113, 'COMPLETO')
('EVENTO:', 'Assalto08057867238027021151923324238740305240', 1, 12, 10, 17, 114, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13235227160178838940303930783967571138855', 2, 9, 14, 25, 114, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito871266043285013582230758218224123845782', 3, 31, 7, 22, 117, 'ATIVO')
('EVENTO:', 'Resgate16295524710109974065018919411355347304251', 3, 26, 9, 18, 117, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente191333620812502457043868359291244750487', 3, 21, 10, 20, 120, 'ATIVO')
('EVENTO:', 'Assalto08057867238027021151923324238740305240', 1, 12, 10, 17, 120, 'COMPLETO')
('EVENTO:', 'Quadrilha15101376671567363553841555268644578663096', 3, 3, 9, 23, 123, 'ATIVO')
('EVENTO:', 'Corrida de Rua2249323038060635436129406924373382581324', 3, 49, 11, 17, 126, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9145015996921204205575444501759019780415', 3, 48, 5, 9, 128, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7120872845749505206959913353095700423783', 2, 1, 8, 13, 129, 'ATIVO')
