('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Fuga5176550909721599633219842436853781561152', 3, 32, 7, 17, 3, 'ATIVO')
('EVENTO:', 'Fuga5176550909721599633219842436853781561152', 3, 32, 7, 17, 4, 'COMPLETO')
('EVENTO:', 'Resgate16224636894603203676338280467049864515582', 1, 34, 3, 16, 6, 'ATIVO')
('EVENTO:', 'Resgate16224636894603203676338280467049864515582', 1, 34, 3, 16, 8, 'COMPLETO')
('EVENTO:', 'Navio Afundando12212004145677500432769178334310384620543', 3, 38, 10, 21, 9, 'ATIVO')
('EVENTO:', 'Navio Afundando12212004145677500432769178334310384620543', 3, 38, 10, 21, 11, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea1416126211909381415834599028391539819632', 1, 18, 14, 20, 12, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea1416126211909381415834599028391539819632', 1, 18, 14, 20, 12, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2133957170865866178017137242306236878941', 3, 24, 8, 18, 15, 'ATIVO')
('EVENTO:', 'Corrida de Rua2133957170865866178017137242306236878941', 3, 24, 8, 18, 15, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9163389965294090659171577029306211312604', 1, 31, 12, 17, 18, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9163389965294090659171577029306211312604', 1, 31, 12, 17, 18, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada979447149147086423494221904717406851978', 1, 15, 14, 22, 21, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada979447149147086423494221904717406851978', 1, 15, 14, 22, 21, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11146902347347992229276439611000499002800', 2, 41, 6, 14, 24, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11146902347347992229276439611000499002800', 2, 41, 6, 14, 25, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13111135482003677925522073379601461840974', 2, 11, 5, 17, 27, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13111135482003677925522073379601461840974', 2, 11, 5, 17, 28, 'COMPLETO')
('EVENTO:', 'Assalto054520188427414170660112929316333318813', 3, 1, 8, 19, 30, 'ATIVO')
('EVENTO:', 'Assalto054520188427414170660112929316333318813', 3, 1, 8, 19, 32, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14330022438590415742864833550911415895290', 1, 27, 8, 23, 33, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14330022438590415742864833550911415895290', 1, 27, 8, 23, 34, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7253217263372789629286437396108451663358', 1, 18, 14, 20, 36, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7253217263372789629286437396108451663358', 1, 18, 14, 20, 36, 'COMPLETO')
('EVENTO:', 'Fuga566598997262576382893220891553238864673', 1, 8, 9, 21, 39, 'ATIVO')
('EVENTO:', 'Fuga566598997262576382893220891553238864673', 1, 8, 9, 21, 39, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10220312667925729219021246817834311405534', 3, 17, 2, 15, 42, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10220312667925729219021246817834311405534', 3, 17, 2, 15, 42, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14295549304854348957678331631520631375205', 3, 2, 6, 16, 45, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14295549304854348957678331631520631375205', 3, 2, 6, 16, 46, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio494243013350271267275925221178066570292', 3, 33, 6, 15, 48, 'ATIVO')
('EVENTO:', 'Individuo Suspeito895204892235100844543298003680204159021', 2, 15, 14, 22, 51, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio494243013350271267275925221178066570292', 3, 33, 6, 15, 51, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito895204892235100844543298003680204159021', 2, 15, 14, 22, 52, 'COMPLETO')
('EVENTO:', 'Assalto012108967235302145803501335506709523482', 1, 39, 17, 25, 54, 'ATIVO')
('EVENTO:', 'Assalto012108967235302145803501335506709523482', 1, 39, 17, 25, 55, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3299497279415120507975552887961211541620', 2, 17, 2, 15, 57, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3299497279415120507975552887961211541620', 2, 17, 2, 15, 57, 'COMPLETO')
('EVENTO:', 'Navio Afundando12254269498740082235844817991610903656827', 2, 25, 6, 18, 60, 'ATIVO')
('EVENTO:', 'Navio Afundando12254269498740082235844817991610903656827', 2, 25, 6, 18, 61, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea1440048291433092936096820585241023569313', 2, 31, 12, 17, 63, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea1440048291433092936096820585241023569313', 2, 31, 12, 17, 63, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito8155339622121276756022399276622305601354', 1, 40, 12, 18, 66, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8155339622121276756022399276622305601354', 1, 40, 12, 18, 66, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2187692508755984579308918728648583974092', 2, 14, 12, 19, 69, 'ATIVO')
('EVENTO:', 'Corrida de Rua2187692508755984579308918728648583974092', 2, 14, 12, 19, 69, 'COMPLETO')
('EVENTO:', 'Quadrilha1564085564692646043541498833200402301850', 2, 11, 5, 17, 72, 'ATIVO')
('EVENTO:', 'Quadrilha1564085564692646043541498833200402301850', 2, 11, 5, 17, 73, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13296228617991753290325895842971496841690', 1, 41, 6, 14, 75, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13296228617991753290325895842971496841690', 1, 41, 6, 14, 76, 'COMPLETO')
('EVENTO:', 'Fuga5223754761880558651907803892785616026029', 1, 43, 5, 18, 78, 'ATIVO')
('EVENTO:', 'Fuga5223754761880558651907803892785616026029', 1, 43, 5, 18, 79, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13231930897832690976376445955974918050621', 3, 26, 6, 18, 81, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13231930897832690976376445955974918050621', 3, 26, 6, 18, 82, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11278465090641178437991713839547166921588', 2, 26, 6, 18, 84, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11278465090641178437991713839547166921588', 2, 26, 6, 18, 85, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7124286106923462706142312013814892862880', 1, 20, 10, 19, 87, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7124286106923462706142312013814892862880', 1, 20, 10, 19, 87, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14179143590746235807705584731748140463351', 2, 3, 12, 20, 90, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14179143590746235807705584731748140463351', 2, 3, 12, 20, 90, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o1020116406995601522042930839190611266057', 1, 9, 8, 21, 93, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o1020116406995601522042930839190611266057', 1, 9, 8, 21, 94, 'COMPLETO')
('EVENTO:', 'Tiroteio18104373397791943106226307869141546277799', 3, 40, 12, 18, 96, 'ATIVO')
('EVENTO:', 'Tiroteio18104373397791943106226307869141546277799', 3, 40, 12, 18, 96, 'COMPLETO')
('EVENTO:', 'Golpe de Estado68471245691457541676051784212447159385', 3, 5, 7, 16, 99, 'ATIVO')
('EVENTO:', 'Golpe de Estado68471245691457541676051784212447159385', 3, 5, 7, 16, 99, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito8272229853405939171490789693544883260145', 3, 11, 5, 17, 102, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8272229853405939171490789693544883260145', 3, 11, 5, 17, 103, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7317520253443882211943840814172035362663', 2, 31, 12, 17, 105, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7317520253443882211943840814172035362663', 2, 31, 12, 17, 105, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6274368165836625540769073437206723399122', 2, 19, 5, 17, 108, 'ATIVO')
('EVENTO:', 'Golpe de Estado6274368165836625540769073437206723399122', 2, 19, 5, 17, 110, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7198994028685906955729722920018664239916', 1, 39, 17, 25, 111, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7198994028685906955729722920018664239916', 1, 39, 17, 25, 112, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto1150656341331268409206233160797828305000', 3, 17, 2, 15, 114, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto1150656341331268409206233160797828305000', 3, 17, 2, 15, 114, 'COMPLETO')
('EVENTO:', 'Golpe de Estado623909136586892912892936013778343577888', 2, 15, 14, 22, 117, 'ATIVO')
('EVENTO:', 'Golpe de Estado623909136586892912892936013778343577888', 2, 15, 14, 22, 117, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio4247485103422117863559623936862248150797', 3, 4, 11, 21, 120, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio4247485103422117863559623936862248150797', 3, 4, 11, 21, 121, 'COMPLETO')
('EVENTO:', 'Fuga5315478692062483679519302305680182971097', 1, 20, 10, 19, 123, 'ATIVO')
('EVENTO:', 'Fuga5315478692062483679519302305680182971097', 1, 20, 10, 19, 123, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13247307417605897516304881211351421668275', 2, 41, 6, 14, 126, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13247307417605897516304881211351421668275', 2, 41, 6, 14, 127, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3266945187635954419876934076942440426733', 2, 3, 12, 20, 129, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3266945187635954419876934076942440426733', 2, 3, 12, 20, 129, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3237656094181285991136007844376010330104', 2, 26, 6, 18, 132, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3237656094181285991136007844376010330104', 2, 26, 6, 18, 133, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente1972643563476337384678003927796217479602', 1, 40, 12, 18, 135, 'ATIVO')
