('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13233377470280529842133281220299010308120', 1, 21, 21, 33, 3, 'ATIVO')
('EVENTO:', 'Golpe de Estado646150203936753150041960980177037177027', 1, 52, 10, 27, 6, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1358083342766838722722526433413252039198', 3, 28, 18, 28, 9, 'ATIVO')
('EVENTO:', 'Assalto0235632122509401428539815014651825491830', 3, 45, 8, 25, 12, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11258753268280793861605918182635515121658', 1, 70, 6, 32, 15, 'ATIVO')
('EVENTO:', 'Individuo Suspeito887866492080080787329600171237091283786', 3, 51, 12, 28, 18, 'ATIVO')
('EVENTO:', 'Fuga5333072220918960898447613933730595330917', 3, 60, 7, 23, 21, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea146220871792517517513847977632193382369', 3, 47, 10, 27, 24, 'ATIVO')
('EVENTO:', 'Soldado Ferido17207751490924974255349623549962767768221', 1, 53, 8, 31, 27, 'ATIVO')
('EVENTO:', 'Soldado Ferido17173695602443057771825610711239160895557', 1, 10, 19, 29, 30, 'ATIVO')
('EVENTO:', 'Golpe de Estado6102599900147510355858412881150438346798', 1, 18, 21, 33, 33, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14117076766135359486490393148901523773174', 3, 40, 21, 31, 36, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o1084235058902555208250055461862501516377', 2, 74, 3, 23, 39, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19173361972581570694864754577291160251659', 2, 47, 10, 27, 42, 'ATIVO')
('EVENTO:', 'Navio Afundando12266810264502499071657000915303626578732', 1, 61, 10, 38, 45, 'ATIVO')
('EVENTO:', 'Resgate1681925793790624310386102212470054773354', 3, 47, 10, 27, 48, 'ATIVO')
('EVENTO:', 'Assalto0235632122509401428539815014651825491830', 3, 45, 8, 25, 50, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto1194404407558326347176717398401481803074', 2, 59, 9, 26, 51, 'ATIVO')
('EVENTO:', 'Golpe de Estado646150203936753150041960980177037177027', 1, 52, 10, 27, 51, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente1946654982970728754871595531682053539320', 3, 25, 19, 28, 54, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14117076766135359486490393148901523773174', 2, 40, 21, 31, 55, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas788114347776138796172080702073858985761', 2, 57, 11, 26, 57, 'ATIVO')
('EVENTO:', 'Quadrilha15209776090525326204875655052067832138109', 1, 56, 11, 36, 60, 'ATIVO')
('EVENTO:', 'Golpe de Estado68331307612965386466467887068044834996', 2, 53, 8, 31, 63, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14319611542901218137008872208640693325738', 3, 25, 19, 28, 66, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8192948675154765358491124211702162003028', 3, 62, 10, 28, 69, 'ATIVO')
('EVENTO:', 'Individuo Suspeito887866492080080787329600171237091283786', 3, 51, 12, 28, 69, 'COMPLETO')
('EVENTO:', 'Assalto0247286033511179271875337547208105108953', 2, 61, 10, 38, 72, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13233377470280529842133281220299010308120', 1, 21, 21, 33, 72, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7111049815593858948335407605349111982073', 3, 22, 16, 38, 75, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada965726745195008982477885579041156499118', 2, 21, 21, 33, 78, 'ATIVO')
('EVENTO:', 'Soldado Ferido17207751490924974255349623549962767768221', 1, 53, 8, 31, 78, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19118309493670125016457036439131901619664', 1, 66, 7, 30, 81, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio4259186320873576183374077177074952872959', 2, 48, 10, 24, 84, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente1946654982970728754871595531682053539320', 1, 25, 19, 28, 85, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7124864342537420516675176724348715514191', 1, 62, 10, 28, 87, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19318260698424522280331483423703751125628', 3, 39, 16, 30, 90, 'ATIVO')
('EVENTO:', 'Resgate16180558135625651304581366813071292005750', 3, 42, 16, 37, 93, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7111049815593858948335407605349111982073', 1, 22, 16, 38, 93, 'COMPLETO')
('EVENTO:', 'Soldado Ferido17121329664992075518697534254604646594459', 2, 27, 21, 39, 96, 'ATIVO')
('EVENTO:', 'Fuga519875106816791631655204883690484735432', 2, 19, 15, 24, 99, 'ATIVO')
('EVENTO:', 'Soldado Ferido17173695602443057771825610711239160895557', 1, 10, 19, 29, 99, 'COMPLETO')
('EVENTO:', 'Fuga519875106816791631655204883690484735432', 1, 19, 15, 24, 99, 'COMPLETO')
('EVENTO:', 'Assalto0113993061831889389609207980077655008392', 1, 64, 9, 36, 102, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1358083342766838722722526433413252039198', 3, 28, 18, 28, 103, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito8303362219893434065177587723648142755278', 3, 64, 9, 36, 105, 'ATIVO')
('EVENTO:', 'Assalto0120230406682099785396926219019345838787', 3, 29, 19, 32, 108, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10230456020384319062220937396947419034971', 3, 12, 16, 20, 111, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8192948675154765358491124211702162003028', 1, 62, 10, 28, 112, 'COMPLETO')
('EVENTO:', 'Fuga5333072220918960898447613933730595330917', 3, 60, 7, 23, 113, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o356871162248889740982150020276551811326', 2, 60, 7, 23, 114, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3132555277802174728755613977795856787367', 3, 57, 11, 26, 117, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19118309493670125016457036439131901619664', 1, 66, 7, 30, 118, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10296177533188832929023640359692200634808', 1, 64, 9, 36, 120, 'ATIVO')
('EVENTO:', 'Golpe de Estado6102599900147510355858412881150438346798', 1, 18, 21, 33, 122, 'COMPLETO')
('EVENTO:', 'Soldado Ferido17121329664992075518697534254604646594459', 1, 27, 21, 39, 122, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2123879160981554213286502247035476146021', 2, 4, 16, 23, 123, 'ATIVO')
('EVENTO:', 'Resgate16180558135625651304581366813071292005750', 1, 42, 16, 37, 124, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10230456020384319062220937396947419034971', 2, 12, 16, 20, 125, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6205114540243341294302778765451606281208', 3, 2, 13, 33, 126, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19318260698424522280331483423703751125628', 1, 39, 16, 30, 127, 'COMPLETO')
('EVENTO:', 'Fuga569839002295054149130133253488537573861', 3, 44, 10, 25, 129, 'ATIVO')
('EVENTO:', 'Corrida de Rua2123879160981554213286502247035476146021', 2, 4, 16, 23, 129, 'COMPLETO')
('EVENTO:', 'Assalto032943146075945176343298255335175374682', 3, 24, 13, 22, 132, 'ATIVO')
('EVENTO:', 'Assalto0120230406682099785396926219019345838787', 3, 29, 19, 32, 134, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19321673799770541373405891869127535607642', 1, 60, 7, 23, 135, 'ATIVO')
('EVENTO:', 'Quadrilha1524849580568037017857092184041381618841', 2, 59, 9, 26, 138, 'ATIVO')
('EVENTO:', 'Corrida de Rua2110235979094834455543604755169475149812', 1, 27, 21, 39, 141, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14319611542901218137008872208640693325738', 3, 25, 19, 28, 142, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9237952626761147456862657924977897847697', 2, 5, 15, 30, 144, 'ATIVO')
('EVENTO:', 'Golpe de Estado6205114540243341294302778765451606281208', 1, 2, 13, 33, 145, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea1412665728658752948437952752370103502310', 1, 61, 10, 38, 147, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada965726745195008982477885579041156499118', 1, 21, 21, 33, 148, 'COMPLETO')
('EVENTO:', 'Assalto0102886046980487328377731948508565977211', 3, 26, 15, 28, 150, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13126080805579790975792302174228294360310', 2, 70, 6, 32, 153, 'ATIVO')
('EVENTO:', 'Assalto0113993061831889389609207980077655008392', 1, 64, 9, 36, 153, 'COMPLETO')
('EVENTO:', 'Assalto032943146075945176343298255335175374682', 3, 24, 13, 22, 153, 'COMPLETO')
('EVENTO:', 'Assalto0102886046980487328377731948508565977211', 1, 26, 15, 28, 155, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6319217172852666741055016694995463664100', 2, 11, 16, 33, 156, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente1969510191386825037971097659934102941505', 3, 26, 15, 28, 159, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9237952626761147456862657924977897847697', 2, 5, 15, 30, 160, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14230726548859017634780947742970070021289', 2, 64, 9, 36, 162, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente1969510191386825037971097659934102941505', 1, 26, 15, 28, 164, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o1061657663943857209010104284996092131506', 3, 19, 15, 24, 165, 'ATIVO')
('EVENTO:', 'Fuga569839002295054149130133253488537573861', 1, 44, 10, 25, 165, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2110235979094834455543604755169475149812', 1, 27, 21, 39, 167, 'COMPLETO')
('EVENTO:', 'Briga1214252537351808140393795161133162347215', 1, 43, 14, 28, 168, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10296177533188832929023640359692200634808', 1, 64, 9, 36, 169, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2127203315296687681930244348735498379070', 3, 6, 12, 32, 171, 'ATIVO')
('EVENTO:', 'Golpe de Estado6319217172852666741055016694995463664100', 1, 11, 16, 33, 173, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas793650788319093830331590902728705432660', 2, 2, 13, 33, 174, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea146220871792517517513847977632193382369', 3, 47, 10, 27, 175, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2127203315296687681930244348735498379070', 1, 6, 12, 32, 176, 'COMPLETO')
('EVENTO:', 'Briga138313453167110573851935079593262357226', 1, 27, 21, 39, 177, 'ATIVO')
