('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Briga1258701280399838321415122668445709727408', 3, 1, 3, 4, 3, 'ATIVO')
('EVENTO:', 'Briga1258701280399838321415122668445709727408', 3, 1, 3, 4, 3, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19235440800096287788612648776443961412328', 3, 1, 3, 4, 6, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19235440800096287788612648776443961412328', 3, 1, 3, 4, 6, 'COMPLETO')
('EVENTO:', 'Navio Afundando1272371657152043621351238794526121372054', 2, 2, 1, 2, 9, 'ATIVO')
('EVENTO:', 'Navio Afundando1272371657152043621351238794526121372054', 2, 2, 1, 2, 9, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13241159001375704596284499068795012674254', 1, 3, 2, 2, 12, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13241159001375704596284499068795012674254', 1, 3, 2, 2, 12, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2244399417473893592465410230054458468174', 1, 3, 2, 2, 15, 'ATIVO')
('EVENTO:', 'Corrida de Rua2244399417473893592465410230054458468174', 1, 3, 2, 2, 15, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7290581794977364821992659362565242029870', 3, 3, 2, 2, 18, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7290581794977364821992659362565242029870', 3, 3, 2, 2, 18, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14328529155984209823475736257314091291031', 3, 3, 2, 2, 21, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14328529155984209823475736257314091291031', 3, 3, 2, 2, 21, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7270433320281884127836956352861699703811', 2, 1, 3, 4, 24, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7270433320281884127836956352861699703811', 2, 1, 3, 4, 24, 'COMPLETO')
('EVENTO:', 'Quadrilha1514099291867904552541056636552795339757', 2, 3, 2, 2, 27, 'ATIVO')
('EVENTO:', 'Quadrilha1514099291867904552541056636552795339757', 2, 3, 2, 2, 27, 'COMPLETO')
('EVENTO:', 'Tiroteio18205802514441819281953991830834932564886', 3, 3, 2, 2, 30, 'ATIVO')
('EVENTO:', 'Tiroteio18205802514441819281953991830834932564886', 3, 3, 2, 2, 30, 'COMPLETO')
('EVENTO:', 'Briga1294706244461548651562253795557887951580', 2, 4, 2, 4, 33, 'ATIVO')
('EVENTO:', 'Briga1294706244461548651562253795557887951580', 2, 4, 2, 4, 34, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9182896351544557386062429702557743583811', 2, 2, 1, 2, 36, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9182896351544557386062429702557743583811', 2, 2, 1, 2, 36, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14271305603899769863960850816099140347912', 2, 1, 3, 4, 39, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14271305603899769863960850816099140347912', 2, 1, 3, 4, 39, 'COMPLETO')
('EVENTO:', 'Assalto0267674390564061680806275939962966185753', 2, 3, 2, 2, 42, 'ATIVO')
('EVENTO:', 'Assalto0267674390564061680806275939962966185753', 2, 3, 2, 2, 42, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19183847016950074355887038375593853915416', 3, 2, 1, 2, 45, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19183847016950074355887038375593853915416', 3, 2, 1, 2, 45, 'COMPLETO')
('EVENTO:', 'Resgate16163111884343411534980505526813735688700', 2, 4, 2, 4, 48, 'ATIVO')
('EVENTO:', 'Resgate16163111884343411534980505526813735688700', 2, 4, 2, 4, 49, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2219832294773233390538478218486444509976', 3, 4, 2, 4, 51, 'ATIVO')
('EVENTO:', 'Corrida de Rua2219832294773233390538478218486444509976', 3, 4, 2, 4, 52, 'COMPLETO')
('EVENTO:', 'Soldado Ferido17217178329308687419185242362299548837857', 1, 4, 2, 4, 54, 'ATIVO')
('EVENTO:', 'Soldado Ferido17217178329308687419185242362299548837857', 1, 4, 2, 4, 55, 'COMPLETO')
('EVENTO:', 'Fuga5235735186911417818356878336993139750379', 1, 4, 2, 4, 57, 'ATIVO')
('EVENTO:', 'Fuga5235735186911417818356878336993139750379', 1, 4, 2, 4, 58, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2186098903956389541166872041589157690097', 3, 1, 3, 4, 60, 'ATIVO')
('EVENTO:', 'Corrida de Rua2186098903956389541166872041589157690097', 3, 1, 3, 4, 60, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas760738289990266753286167774370419413059', 1, 1, 3, 4, 63, 'ATIVO')
('EVENTO:', 'Hospital em Chamas760738289990266753286167774370419413059', 1, 1, 3, 4, 63, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6280328964381711750757816425931227822911', 3, 3, 2, 2, 66, 'ATIVO')
('EVENTO:', 'Golpe de Estado6280328964381711750757816425931227822911', 3, 3, 2, 2, 66, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente1950164794297016911121792081702648897001', 2, 1, 3, 4, 69, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente1950164794297016911121792081702648897001', 2, 1, 3, 4, 69, 'COMPLETO')
