('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Ladr\xc3\xa3o1027215938969039933319546790076030570089', 2, 4, 15, 34, 3, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o1027215938969039933319546790076030570089', 2, 4, 15, 34, 4, 'COMPLETO')
('EVENTO:', 'Quadrilha1548063214931201061247570688074856358333', 1, 47, 19, 33, 6, 'ATIVO')
('EVENTO:', 'Quadrilha1548063214931201061247570688074856358333', 1, 47, 19, 33, 6, 'COMPLETO')
('EVENTO:', 'Resgate1610462960090439780036253341613873473480', 3, 18, 18, 27, 9, 'ATIVO')
('EVENTO:', 'Resgate1610462960090439780036253341613873473480', 3, 18, 18, 27, 9, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13123081826635567575631690254483890818687', 1, 51, 20, 30, 12, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13123081826635567575631690254483890818687', 1, 51, 20, 30, 13, 'COMPLETO')
('EVENTO:', 'Tiroteio1844478584328029654926693190054908870776', 2, 37, 19, 33, 15, 'ATIVO')
('EVENTO:', 'Tiroteio1844478584328029654926693190054908870776', 2, 37, 19, 33, 16, 'COMPLETO')
('EVENTO:', 'Quadrilha15116840364757196570503429371803531100497', 2, 58, 20, 32, 18, 'ATIVO')
('EVENTO:', 'Quadrilha15116840364757196570503429371803531100497', 2, 58, 20, 32, 19, 'COMPLETO')
('EVENTO:', 'Soldado Ferido1789866875213244961479064960859036859446', 3, 27, 24, 34, 21, 'ATIVO')
('EVENTO:', 'Soldado Ferido1789866875213244961479064960859036859446', 3, 27, 24, 34, 22, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9321876183637691224145590393252375056483', 3, 11, 23, 37, 24, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9321876183637691224145590393252375056483', 3, 11, 23, 37, 24, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o388488536682493239076308345467173922630', 2, 28, 15, 33, 27, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o388488536682493239076308345467173922630', 2, 28, 15, 33, 28, 'COMPLETO')
('EVENTO:', 'Assalto0141161430723209475402923029535973982193', 2, 1, 8, 32, 30, 'ATIVO')
('EVENTO:', 'Assalto0141161430723209475402923029535973982193', 2, 1, 8, 32, 31, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7211911877604480048002462087043451125488', 2, 20, 11, 32, 33, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7211911877604480048002462087043451125488', 2, 20, 11, 32, 34, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio419449259405423446148413120716923338799', 3, 64, 23, 34, 36, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio419449259405423446148413120716923338799', 3, 64, 23, 34, 37, 'COMPLETO')
('EVENTO:', 'Assalto073870618858419581339302295266360157075', 1, 69, 16, 35, 39, 'ATIVO')
('EVENTO:', 'Assalto073870618858419581339302295266360157075', 1, 69, 16, 35, 40, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11163891597653339316631644490599127783356', 2, 5, 14, 35, 42, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11163891597653339316631644490599127783356', 2, 5, 14, 35, 43, 'COMPLETO')
('EVENTO:', 'Quadrilha1597868121509971981454180248116945603974', 3, 36, 16, 29, 45, 'ATIVO')
('EVENTO:', 'Quadrilha1597868121509971981454180248116945603974', 3, 36, 16, 29, 46, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada910166309563067890748386032713060084034', 1, 32, 17, 33, 48, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada910166309563067890748386032713060084034', 1, 32, 17, 33, 48, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1353077928817305851447797096917378305854', 2, 37, 19, 33, 51, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1353077928817305851447797096917378305854', 2, 37, 19, 33, 52, 'COMPLETO')
('EVENTO:', 'Soldado Ferido17222486327281155624543404929403212622835', 1, 47, 19, 33, 54, 'ATIVO')
('EVENTO:', 'Soldado Ferido17222486327281155624543404929403212622835', 1, 47, 19, 33, 54, 'COMPLETO')
