('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Joalheiria Roubada949376037110195297212067487864192185286', 2, 21, 6, 13, 3, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1378109089703497294438977553946793616695', 1, 18, 8, 17, 6, 'ATIVO')
('EVENTO:', 'Fuga5275519549207681361359448296921429228410', 3, 11, 8, 16, 9, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio424645272066860251590523512716060207772', 1, 23, 5, 18, 12, 'ATIVO')
('EVENTO:', 'Tiroteio18297239662185416047579150266945710693675', 1, 22, 8, 20, 15, 'ATIVO')
('EVENTO:', 'Golpe de Estado6125817027579815085554949672770935862057', 3, 34, 9, 13, 18, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8193436959009834138388615507875295725787', 1, 38, 8, 15, 21, 'ATIVO')
('EVENTO:', 'Quadrilha15113396138881779655963777569418329569500', 1, 7, 6, 14, 24, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8193436959009834138388615507875295725787', 1, 38, 8, 15, 25, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2109859384613809286931560017711184807182', 3, 35, 7, 13, 27, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada949376037110195297212067487864192185286', 2, 21, 6, 13, 27, 'COMPLETO')
('EVENTO:', 'Resgate16182697596893235100931925831406931713560', 1, 38, 8, 15, 30, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1378109089703497294438977553946793616695', 1, 18, 8, 17, 32, 'COMPLETO')
('EVENTO:', 'Navio Afundando12306051109708485758926846244581157729081', 3, 22, 8, 20, 33, 'ATIVO')
('EVENTO:', 'Resgate16182697596893235100931925831406931713560', 1, 38, 8, 15, 34, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6188174210937814213855232619448723204017', 2, 34, 9, 13, 36, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o1072284818278083205727668797080353216707', 2, 32, 8, 19, 39, 'ATIVO')
('EVENTO:', 'Corrida de Rua2109859384613809286931560017711184807182', 3, 35, 7, 13, 39, 'COMPLETO')
('EVENTO:', 'Briga1165260952175833466460530098218853923938', 2, 24, 9, 14, 42, 'ATIVO')
('EVENTO:', 'Briga1165260952175833466460530098218853923938', 2, 24, 9, 14, 42, 'COMPLETO')
('EVENTO:', 'Golpe de Estado667342124508413231624851357781307813011', 1, 26, 5, 14, 45, 'ATIVO')
('EVENTO:', 'Fuga5275519549207681361359448296921429228410', 3, 11, 8, 16, 45, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o1072284818278083205727668797080353216707', 1, 32, 8, 19, 45, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10213280164164584794943811604206379438939', 3, 17, 6, 12, 48, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10213280164164584794943811604206379438939', 3, 17, 6, 12, 49, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio424645272066860251590523512716060207772', 1, 23, 5, 18, 50, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio484245476073327640179447209446836481095', 3, 2, 7, 17, 51, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13184063686574452606938598654716878349867', 2, 13, 10, 12, 54, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9288124622326400834608290267907562508877', 1, 29, 5, 11, 57, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio4131145123315869428679489583095379625391', 2, 2, 7, 17, 60, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio484245476073327640179447209446836481095', 3, 2, 7, 17, 60, 'COMPLETO')
('EVENTO:', 'Fuga5225160170390581273026693367559085287856', 2, 34, 9, 13, 63, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio4131145123315869428679489583095379625391', 2, 2, 7, 17, 63, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2253596312279159323861370512303977047690', 2, 7, 6, 14, 66, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13184063686574452606938598654716878349867', 2, 13, 10, 12, 66, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2310485835340051760893412116278382557951', 3, 19, 7, 10, 69, 'ATIVO')
('EVENTO:', 'Golpe de Estado6125817027579815085554949672770935862057', 3, 34, 9, 13, 69, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2238314293163704300799793415101258567550', 2, 1, 10, 22, 72, 'ATIVO')
('EVENTO:', 'Tiroteio185514963371940339201151067307084644329', 1, 12, 10, 17, 75, 'ATIVO')
('EVENTO:', 'Quadrilha15113396138881779655963777569418329569500', 1, 7, 6, 14, 76, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14139267773062716773776108717291109543855', 1, 27, 8, 19, 78, 'ATIVO')
('EVENTO:', 'Corrida de Rua2238314293163704300799793415101258567550', 1, 1, 10, 22, 79, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13191581290168678208615575677776696858861', 3, 2, 7, 17, 81, 'ATIVO')
('EVENTO:', 'Fuga5225160170390581273026693367559085287856', 2, 34, 9, 13, 81, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10129245067248749290882482082176357604033', 2, 5, 12, 16, 84, 'ATIVO')
('EVENTO:', 'Briga1285326774763470105156173822245153004222', 2, 7, 6, 14, 87, 'ATIVO')
('EVENTO:', 'Golpe de Estado6188174210937814213855232619448723204017', 1, 34, 9, 13, 87, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio470328927043854131620250479613558202154', 3, 9, 10, 12, 90, 'ATIVO')
