('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Individuo Suspeito838176673042915944473159083117063241503', 2, 11, 4, 7, 3, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9201998930516004631610418440561159417731', 2, 4, 4, 7, 6, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10121930915156698526529665593967895536895', 1, 7, 4, 4, 9, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19194742846863765070063099450985242589068', 3, 8, 3, 7, 12, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9201998930516004631610418440561159417731', 2, 4, 4, 7, 14, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o1042115084203531024832422097510967462288', 1, 1, 3, 5, 15, 'ATIVO')
('EVENTO:', 'Navio Afundando12285964384094757565112232529590624257789', 1, 4, 4, 7, 18, 'ATIVO')
('EVENTO:', 'Quadrilha15304116998466358252341063275942962526451', 1, 6, 4, 7, 21, 'ON-HOLD')
('EVENTO:', 'V\xc3\xadtima de Acidente19194742846863765070063099450985242589068', 1, 8, 3, 7, 21, 'COMPLETO')
('EVENTO:', 'Quadrilha15304116998466358252341063275942962526451', 1, 6, 4, 7, 21, 'RE-ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o1042115084203531024832422097510967462288', 1, 1, 3, 5, 22, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada98858333708484710561001782317749008971', 2, 5, 3, 5, 24, 'ATIVO')
('EVENTO:', 'Individuo Suspeito838176673042915944473159083117063241503', 2, 11, 4, 7, 24, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada98858333708484710561001782317749008971', 1, 5, 3, 5, 24, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14244852771124913140230162274600470788957', 3, 3, 3, 3, 27, 'ATIVO')
('EVENTO:', 'Navio Afundando12285964384094757565112232529590624257789', 1, 4, 4, 7, 27, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9176178010355832085617485262677757789343', 1, 4, 4, 7, 30, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14244852771124913140230162274600470788957', 2, 3, 3, 3, 31, 'COMPLETO')
('EVENTO:', 'Quadrilha15304116998466358252341063275942962526451', 1, 6, 4, 7, 32, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2322401893360064210044868630059099610638', 1, 10, 4, 5, 33, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10121930915156698526529665593967895536895', 1, 7, 4, 4, 34, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7196523522290405568252313835203327761083', 1, 8, 3, 7, 36, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o330460480889435592994695397567967133513', 1, 11, 4, 7, 39, 'ATIVO')
('EVENTO:', 'Corrida de Rua2322401893360064210044868630059099610638', 1, 10, 4, 5, 39, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9176178010355832085617485262677757789343', 1, 4, 4, 7, 41, 'COMPLETO')
('EVENTO:', 'Soldado Ferido1749019015346806391043572878646638243748', 1, 1, 3, 5, 42, 'ATIVO')
('EVENTO:', 'Soldado Ferido1749019015346806391043572878646638243748', 1, 1, 3, 5, 43, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9216895495269864735388322315309618319281', 2, 3, 3, 3, 45, 'ATIVO')
('EVENTO:', 'Golpe de Estado6332689782421206719777310836442653325523', 1, 12, 3, 6, 48, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9216895495269864735388322315309618319281', 1, 3, 3, 3, 49, 'COMPLETO')
('EVENTO:', 'Assalto0201199642582217443741033520282592784772', 1, 9, 3, 5, 51, 'ATIVO')
('EVENTO:', 'Assalto0201199642582217443741033520282592784772', 1, 9, 3, 5, 51, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9255580142106542536568531583049132640276', 1, 4, 4, 7, 54, 'ATIVO')
('EVENTO:', 'Golpe de Estado6332689782421206719777310836442653325523', 1, 12, 3, 6, 56, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19251387916209715750585943437887647201060', 2, 2, 5, 7, 57, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7196523522290405568252313835203327761083', 1, 8, 3, 7, 59, 'COMPLETO')
('EVENTO:', 'Resgate1677511234298214132700323854674671061175', 3, 4, 4, 7, 60, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19251387916209715750585943437887647201060', 1, 2, 5, 7, 60, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o330460480889435592994695397567967133513', 1, 11, 4, 7, 61, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11267429832289619957812997139828871794926', 3, 12, 3, 6, 63, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9255580142106542536568531583049132640276', 1, 4, 4, 7, 64, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto1140765825613809337129442223815793787839', 1, 13, 2, 8, 66, 'ATIVO')
('EVENTO:', 'Resgate16109180069799531107528849587943330300504', 1, 9, 3, 5, 69, 'ATIVO')
('EVENTO:', 'Resgate16109180069799531107528849587943330300504', 1, 9, 3, 5, 69, 'COMPLETO')
('EVENTO:', 'Resgate1677511234298214132700323854674671061175', 1, 4, 4, 7, 70, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11267429832289619957812997139828871794926', 2, 12, 3, 6, 71, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito816327270572471787791126852344502426627', 2, 4, 4, 7, 72, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9142180913263026895091658007686678902204', 1, 9, 3, 5, 75, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9142180913263026895091658007686678902204', 1, 9, 3, 5, 75, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o38478325280131913462443547610281331102', 2, 8, 3, 7, 78, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto1140765825613809337129442223815793787839', 1, 13, 2, 8, 79, 'COMPLETO')
('EVENTO:', 'Assalto0106270696192861305459626987555988804164', 1, 6, 4, 7, 81, 'ATIVO')
('EVENTO:', 'Individuo Suspeito816327270572471787791126852344502426627', 1, 4, 4, 7, 81, 'COMPLETO')
('EVENTO:', 'Soldado Ferido17177236527582140541372313323063527121656', 1, 7, 4, 4, 84, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10338244946713949844941408674369825858905', 1, 7, 4, 4, 87, 'ATIVO')
