('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Individuo Suspeito8335765676898071848864205348992431003916', 2, 51, 8, 28, 3, 'ATIVO')
('EVENTO:', 'Fuga576648646105009617098747018091174628701', 2, 2, 11, 19, 6, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3121649928652866748228375851343329243008', 1, 40, 8, 26, 9, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio4143696851217435031575268728253517205073', 2, 29, 8, 26, 12, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada912955329257676909196043954914943012717', 1, 50, 7, 21, 15, 'ATIVO')
('EVENTO:', 'Individuo Suspeito871977137186576064506997683113474153394', 1, 4, 9, 22, 18, 'ATIVO')
('EVENTO:', 'Fuga5158969059077920680120105465968618747345', 3, 21, 9, 20, 21, 'ATIVO')
('EVENTO:', 'Individuo Suspeito886713126685844919506466140681453875348', 1, 37, 11, 23, 24, 'ATIVO')
('EVENTO:', 'Fuga576648646105009617098747018091174628701', 2, 2, 11, 19, 25, 'COMPLETO')
('EVENTO:', 'Navio Afundando12324136647545912076486247450144829622976', 3, 7, 8, 24, 27, 'ATIVO')
('EVENTO:', 'Navio Afundando12331653586946357853816261806508632378642', 1, 53, 7, 18, 30, 'ATIVO')
('EVENTO:', 'Quadrilha1513046305155909137644697340869270609978', 2, 50, 7, 21, 33, 'ATIVO')
('EVENTO:', 'Fuga5306371350923552315725670721101679790395', 1, 50, 7, 21, 36, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13120401776370630492000954197536337409241', 1, 39, 9, 17, 39, 'ATIVO')
('EVENTO:', 'Tiroteio187291778246990319112144476002944011845', 1, 20, 10, 20, 42, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8335765676898071848864205348992431003916', 2, 51, 8, 28, 44, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o1097579834112805901156636115704560631086', 3, 11, 12, 28, 45, 'ATIVO')
('EVENTO:', 'Individuo Suspeito871977137186576064506997683113474153394', 1, 4, 9, 22, 47, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio4160240905225687561488277786985542403459', 3, 14, 12, 16, 48, 'ATIVO')
('EVENTO:', 'Fuga5158969059077920680120105465968618747345', 1, 21, 9, 20, 49, 'COMPLETO')
('EVENTO:', 'Golpe de Estado652510837492720875983029151790174873982', 2, 43, 8, 23, 51, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio4160240905225687561488277786985542403459', 2, 14, 12, 16, 51, 'COMPLETO')
('EVENTO:', 'Corrida de Rua220480967384786455275349723134944520684', 2, 14, 12, 16, 54, 'ATIVO')
('EVENTO:', 'Navio Afundando12324136647545912076486247450144829622976', 2, 7, 8, 24, 54, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1343139386983147804001175180781423638409', 1, 10, 12, 17, 57, 'ATIVO')
('EVENTO:', 'Corrida de Rua220480967384786455275349723134944520684', 2, 14, 12, 16, 57, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3177381857399950243027035498523256618147', 3, 33, 6, 20, 60, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3121649928652866748228375851343329243008', 1, 40, 8, 26, 61, 'COMPLETO')
('EVENTO:', 'Quadrilha15170507003255088404296989232009316690679', 1, 51, 8, 28, 63, 'ATIVO')
('EVENTO:', 'Navio Afundando12205979954938204616602253528025984656534', 3, 5, 8, 19, 66, 'ATIVO')
('EVENTO:', 'Golpe de Estado652510837492720875983029151790174873982', 1, 43, 8, 23, 67, 'COMPLETO')
('EVENTO:', 'Briga175678006328094862779861983254008582206', 2, 39, 9, 17, 69, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3177381857399950243027035498523256618147', 1, 33, 6, 20, 69, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito886713126685844919506466140681453875348', 1, 37, 11, 23, 70, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19173317827671961405482976358829536486404', 1, 20, 10, 20, 72, 'ATIVO')
('EVENTO:', 'Navio Afundando12331653586946357853816261806508632378642', 1, 53, 7, 18, 73, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13120401776370630492000954197536337409241', 1, 39, 9, 17, 73, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2123018740356123719997729239452888740510', 1, 38, 7, 23, 75, 'ATIVO')
('EVENTO:', 'Individuo Suspeito846295541598518363661203249854810970441', 1, 13, 11, 22, 78, 'ATIVO')
('EVENTO:', 'Fuga5160565832672683214453750273014124426425', 2, 44, 9, 22, 81, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1343139386983147804001175180781423638409', 1, 10, 12, 17, 83, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito839238480124509409443805521358802622338', 1, 1, 10, 21, 84, 'ATIVO')
('EVENTO:', 'Golpe de Estado693274822093038038461132610713667500981', 2, 34, 9, 16, 87, 'ATIVO')
('EVENTO:', 'Navio Afundando12205979954938204616602253528025984656534', 1, 5, 8, 19, 87, 'COMPLETO')
('EVENTO:', 'Briga175678006328094862779861983254008582206', 1, 39, 9, 17, 88, 'COMPLETO')
('EVENTO:', 'Golpe de Estado693274822093038038461132610713667500981', 2, 34, 9, 16, 88, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19172135024089375500536960950296394817054', 1, 7, 8, 24, 90, 'ATIVO')
('EVENTO:', 'Individuo Suspeito839238480124509409443805521358802622338', 1, 1, 10, 21, 90, 'COMPLETO')
('EVENTO:', 'Quadrilha15296364551628161413639935107932209333645', 3, 1, 10, 21, 93, 'ATIVO')
('EVENTO:', 'Navio Afundando1230871750867848466408215382056915922557', 2, 12, 10, 22, 96, 'ATIVO')
('EVENTO:', 'Resgate1686987528738117111308943767027563646760', 3, 3, 10, 20, 99, 'ATIVO')
('EVENTO:', 'Fuga5160565832672683214453750273014124426425', 2, 44, 9, 22, 100, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2123018740356123719997729239452888740510', 1, 38, 7, 23, 101, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito8192698226293149785965452264645453127340', 2, 9, 10, 24, 102, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o1097579834112805901156636115704560631086', 2, 11, 12, 28, 102, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19102566320226781963790168122692710142733', 2, 1, 10, 21, 105, 'ATIVO')
('EVENTO:', 'Quadrilha15170507003255088404296989232009316690679', 1, 51, 8, 28, 107, 'COMPLETO')
