('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Ladr\xc3\xa3o10326590101941384733903439824764719538395', 1, 5, 4, 5, 70, 'COMPLETO')
('EVENTO:', 'Navio Afundando12310630976831205128130312278418936503968', 1, 14, 1, 5, 72, 'ATIVO')
('EVENTO:', 'Navio Afundando12310630976831205128130312278418936503968', 1, 14, 1, 5, 74, 'COMPLETO')
('EVENTO:', 'Briga1178411179153963457300179040987374642570', 2, 7, 5, 6, 75, 'ATIVO')
('EVENTO:', 'Briga1178411179153963457300179040987374642570', 2, 7, 5, 6, 76, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o317195861415281528905505622071343815912', 1, 5, 4, 5, 78, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o317195861415281528905505622071343815912', 1, 5, 4, 5, 79, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6253067650707123644754735384540479715920', 2, 4, 3, 3, 81, 'ATIVO')
('EVENTO:', 'Golpe de Estado6253067650707123644754735384540479715920', 2, 4, 3, 3, 83, 'COMPLETO')
('EVENTO:', 'Briga1176136087913565062502579302023902752176', 1, 14, 1, 5, 84, 'ATIVO')
('EVENTO:', 'Briga1176136087913565062502579302023902752176', 1, 14, 1, 5, 86, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o1019668472469914749634451853584295602782', 2, 2, 3, 7, 87, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o1019668472469914749634451853584295602782', 2, 2, 3, 7, 87, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7217355601831747683880010503268881020008', 3, 11, 3, 3, 90, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7217355601831747683880010503268881020008', 3, 11, 3, 3, 92, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas728273405044392539630865974220826314785', 2, 4, 3, 3, 93, 'ATIVO')
('EVENTO:', 'Hospital em Chamas728273405044392539630865974220826314785', 2, 4, 3, 3, 95, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11293903230655503349480716381264145570044', 1, 10, 3, 4, 96, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11293903230655503349480716381264145570044', 1, 10, 3, 4, 97, 'COMPLETO')
('EVENTO:', 'Quadrilha1553493721355409218716423679868138944369', 3, 1, 4, 9, 99, 'ATIVO')
('EVENTO:', 'Quadrilha1553493721355409218716423679868138944369', 3, 1, 4, 9, 100, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente1920881410451003495783273562906719804435', 3, 14, 1, 5, 102, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente1920881410451003495783273562906719804435', 3, 14, 1, 5, 104, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito8212271062961693912279338738932369627015', 3, 4, 3, 3, 105, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8212271062961693912279338738932369627015', 3, 4, 3, 3, 107, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3180584189498366169621080079009203475514', 2, 12, 2, 3, 108, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3180584189498366169621080079009203475514', 2, 12, 2, 3, 109, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19226334083691089164183856496358260532618', 1, 3, 4, 6, 111, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19226334083691089164183856496358260532618', 1, 3, 4, 6, 111, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente1976885879873789749604513724980292471270', 1, 2, 3, 7, 114, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente1976885879873789749604513724980292471270', 1, 2, 3, 7, 114, 'COMPLETO')
('EVENTO:', 'Tiroteio18296132528157902030137540137936016720441', 3, 10, 3, 4, 117, 'ATIVO')
('EVENTO:', 'Tiroteio18296132528157902030137540137936016720441', 3, 10, 3, 4, 118, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito8195910041025935125335927664853739299867', 2, 2, 3, 7, 120, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8195910041025935125335927664853739299867', 2, 2, 3, 7, 120, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o32035282270555140991241283840233594574', 2, 14, 1, 5, 123, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o32035282270555140991241283840233594574', 2, 14, 1, 5, 125, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2220293483894159011364803586746523181126', 3, 14, 1, 5, 126, 'ATIVO')
